County,Library Name,Population of the Legal Service Area,Legal Establishment,Region
Anderson,Frankston Depot Library,"2,736",Non-profit,Northeast Texas Region
Anderson,Palestine Public Library,"42,267",City,Northeast Texas Region
Andrews,Andrews County Library,"18,128",County,West Texas Region
Angelina,Kurth Memorial Library,"35,510",City,Houston Area Region
Angelina,McMullen Memorial Library,"8,315",Non-profit,Houston Area Region
Angelina,TLL Temple Memorial Library & Archives,"5,247",Non-profit,Houston Area Region
Aransas,Aransas County Public Library,"23,059",County,South Texas Region
Archer,Archer Public Library,"4,422",County,North Texas Region
Archer,Holliday Public Library,"4,364",Non-profit,North Texas Region
Atascosa,Charlotte Public Library,"4,055",City,Alamo Area Region
Atascosa,Jourdanton Community Library,"9,778",City,Alamo Area Region
Atascosa,Lytle Public Library,"5,858",City,Alamo Area Region
Atascosa,Pleasanton Public Library,"23,570",City,Alamo Area Region
Atascosa,Poteet Public Library,"7,660",City,Alamo Area Region
Austin,Austin County Library System,"15,002",County,Houston Area Region
Austin,Bellville Public Library,"4,266",City,Houston Area Region
Austin,Virgil & Josephine Gordon Memorial Library,"10,721",Non-profit,Houston Area Region
Bailey,Muleshoe Area Public Library,"5,042",City,West Texas Region
Bandera,Bandera County Library,"7,556",Non-profit,Alamo Area Region
Bandera,Lakehills Area Library,"7,556",Non-profit,Alamo Area Region
Bandera,Medina Community Library,"7,556",Non-profit,Alamo Area Region
Bastrop,Bastrop Public Library,"9,420",City,Central Texas Region
Bastrop,Elgin Public Library,"35,630",City,Central Texas Region
Bastrop,Smithville Public Library,"16,861",City,Central Texas Region
Bee,Joe Barnhart Bee County Library,"25,227",Non-profit,South Texas Region
Bell,Killeen City Library System,"149,103",City,Central Texas Region
Bell,Lena Armstrong Public Library,"22,222",City,Central Texas Region
Bell,Salado Public Library District,"8,343",Library District,Central Texas Region
Bell,Stewart C Meyer Library,"31,857",City,Central Texas Region
Bell,Temple Public Library,"76,256",City,Central Texas Region
Bexar,BiblioTech,"86,017",County,Alamo Area Region
Bexar,Converse Public Library,"27,742",City,Alamo Area Region
Bexar,Leon Valley Public Library,"11,485",City,Alamo Area Region
Bexar,San Antonio Public Library,"1,829,577",City,Alamo Area Region
Bexar,Universal City Public Library,"20,773",City,Alamo Area Region
Blanco,Blanco County South Library District,"6,116",Library District,Central Texas Region
Blanco,Johnson City Library,"5,586",Library District,Central Texas Region
Bosque,Meridian Public Library,"1,503",Non-profit,Central Texas Region
Bosque,Nellie Pederson Civic Library,"3,453",City,Central Texas Region
Bosque,Valley Mills Public Library,"1,210",Non-profit,Central Texas Region
Bowie,Maud Public Library,"1,068",City,Northeast Texas Region
Bowie,New Boston Public Library,"4,678",City,Northeast Texas Region
Bowie,Texarkana Public Library,"37,295",City,Northeast Texas Region
Brazoria,Brazoria County Library System,"370,200",County,Houston Area Region
Brazos,Bryan+College Station Public Library System,"201,663",City,Central Texas Region
Brewster,Alpine Public Library,"8,129",Non-profit,Texas Trans-Pecos Region
Brewster,Marathon Public Library,"1,138",Non-profit,Texas Trans-Pecos Region
Briscoe,Caprock Public Library,"1,516",City,Texas Panhandle Region
Brooks,Ed Rachal Memorial Library,"7,114",County,South Texas Region
Brown,Brownwood Public Library,"37,924",Non-profit,Big Country Region
Burleson,Harrie P Woodson Memorial Library,"4,397",City,Central Texas Region
Burnet,Burnet County Library System,"41,102",County,Central Texas Region
Burnet,Spicewood Library,"6,440",Non-profit,Central Texas Region
Caldwell,Dr Eugene Clark Library,"13,924",City,Central Texas Region
Caldwell,JB Nickells Memorial Library,"5,954",City,Central Texas Region
Caldwell,Martindale Community Library,"1,272",Non-profit,Central Texas Region
Caldwell,Tri-Community Library,"1,499",Non-profit,Central Texas Region
Calhoun,Calhoun County Public Library,"21,561",County,South Texas Region
Callahan,Callahan County Library,"3,323",County,Big Country Region
Callahan,Clyde Public Library,"8,490",City,Big Country Region
