County Name,Daily,Semiweekly,Weekly,Semimonthly,Monthly,Bimonthly,Quarterly,Annual,Irregular,Missing
Anderson,24%,0%,52%,0%,5%,0%,0%,0%,5%,14%
Andrews,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Angelina,27%,9%,27%,0%,0%,0%,0%,0%,0%,45%
Aransas,8%,0%,75%,0%,8%,0%,0%,0%,0%,8%
Archer,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Armstrong,0%,0%,67%,0%,0%,0%,0%,0%,0%,33%
Atascosa,0%,8%,92%,0%,0%,0%,0%,0%,0%,8%
Austin,0%,9%,87%,0%,9%,0%,0%,0%,0%,4%
Bailey,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Bandera,0%,0%,78%,0%,22%,0%,0%,0%,0%,0%
Bastrop,0%,9%,91%,9%,9%,0%,0%,0%,0%,0%
Baylor,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Bee,0%,8%,92%,0%,8%,0%,0%,0%,0%,0%
Bell,19%,7%,66%,2%,4%,0%,0%,0%,0%,10%
Bexar,19%,2%,62%,5%,13%,0%,0%,0%,2%,5%
Blanco,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Borden,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Bosque,0%,0%,86%,0%,0%,0%,5%,0%,0%,10%
Bowie,48%,0%,26%,4%,7%,0%,0%,0%,0%,19%
Brazoria,8%,4%,78%,0%,0%,0%,4%,0%,0%,10%
Brazos,8%,13%,54%,0%,17%,4%,4%,4%,4%,8%
Brewster,0%,14%,86%,0%,0%,0%,0%,0%,0%,14%
Briscoe,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Brooks,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Brown,15%,0%,55%,5%,10%,0%,0%,0%,0%,20%
Burleson,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Burnet,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Caldwell,7%,0%,82%,0%,0%,0%,0%,0%,0%,11%
Calhoun,0%,6%,100%,0%,0%,0%,0%,0%,0%,0%
Callahan,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Cameron,26%,12%,63%,4%,7%,1%,0%,0%,0%,4%
Camp,8%,0%,83%,0%,8%,0%,0%,0%,0%,0%
Carson,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Cass,0%,8%,92%,0%,0%,0%,0%,0%,0%,8%
Castro,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Chambers,0%,0%,64%,0%,0%,0%,0%,0%,0%,36%
Cherokee,6%,0%,71%,0%,10%,0%,0%,0%,0%,13%
Childress,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%
Clay,0%,0%,83%,0%,0%,0%,0%,0%,0%,17%
Cochran,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Coke,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Coleman,25%,6%,75%,0%,0%,0%,0%,0%,0%,0%
Collin,28%,3%,64%,3%,3%,0%,0%,0%,0%,5%
Collingsworth,0%,0%,50%,0%,0%,0%,0%,0%,0%,50%
Colorado,18%,0%,76%,0%,0%,0%,0%,0%,0%,6%
Comal,5%,0%,79%,0%,16%,0%,0%,0%,0%,0%
Comanche,0%,0%,81%,0%,6%,0%,0%,0%,0%,13%
Concho,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Cooke,38%,0%,62%,0%,0%,0%,0%,0%,0%,0%
Coryell,0%,17%,91%,0%,4%,0%,0%,0%,0%,4%
Cottle,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Crane,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Crockett,0%,0%,75%,0%,0%,0%,0%,0%,0%,25%
Crosby,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Culberson,0%,0%,67%,0%,33%,0%,0%,0%,0%,0%
Dallam,11%,0%,78%,0%,0%,0%,0%,0%,0%,11%
Dallas,11%,4%,64%,8%,18%,1%,0%,0%,0%,7%
Dawson,13%,0%,63%,13%,13%,0%,0%,0%,0%,13%
Deaf Smith,0%,10%,80%,0%,10%,0%,0%,0%,0%,10%
Delta,0%,0%,89%,0%,0%,0%,0%,0%,0%,11%
Denton,19%,2%,63%,6%,10%,0%,0%,0%,2%,6%
De Witt,0%,25%,100%,0%,0%,0%,0%,0%,0%,0%
Dickens,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Dimmit,0%,0%,75%,0%,0%,0%,0%,0%,0%,25%
Donley,0%,7%,100%,0%,0%,0%,0%,0%,0%,0%
Duval,0%,5%,95%,0%,0%,0%,0%,0%,0%,5%
Eastland,22%,8%,75%,0%,0%,0%,3%,0%,0%,0%
Ector,24%,0%,53%,0%,12%,0%,0%,0%,6%,6%
Edwards,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Ellis,11%,6%,83%,0%,3%,0%,0%,0%,0%,3%
El Paso,30%,3%,53%,5%,12%,0%,0%,0%,1%,4%
Erath,0%,0%,92%,0%,8%,0%,0%,0%,0%,0%
Falls,17%,17%,83%,0%,0%,0%,0%,0%,0%,0%
Fannin,4%,4%,88%,0%,8%,4%,0%,0%,0%,0%
Fayette,0%,7%,96%,0%,4%,0%,0%,0%,0%,0%
