County Name,Daily,Semiweekly,Weekly,Semimonthly,Monthly,Bimonthly,Quarterly,Annual,Irregular,Missing,Total
Anderson,5,0,11,0,1,0,0,0,1,3,21
Andrews,0,0,2,0,0,0,0,0,0,0,2
Angelina,3,1,3,0,0,0,0,0,0,5,11
Aransas,1,0,9,0,1,0,0,0,0,1,12
Archer,0,0,4,0,0,0,0,0,0,0,4
Armstrong,0,0,2,0,0,0,0,0,0,1,3
Atascosa,0,1,12,0,0,0,0,0,0,1,13
Austin,0,2,20,0,2,0,0,0,0,1,23
Bailey,0,0,3,0,0,0,0,0,0,0,3
Bandera,0,0,7,0,2,0,0,0,0,0,9
Bastrop,0,2,20,2,2,0,0,0,0,0,22
Baylor,0,0,3,0,0,0,0,0,0,0,3
Bee,0,1,11,0,1,0,0,0,0,0,12
Bell,24,9,82,3,5,0,0,0,0,13,124
Bexar,47,6,156,12,32,1,0,0,6,12,253
Blanco,0,0,9,0,0,0,0,0,0,0,9
Borden,0,0,2,0,0,0,0,0,0,0,2
Bosque,0,0,18,0,0,0,1,0,0,2,21
Bowie,13,0,7,1,2,0,0,0,0,5,27
Brazoria,4,2,40,0,0,0,2,0,0,5,51
Brazos,2,3,13,0,4,1,1,1,1,2,24
Brewster,0,1,6,0,0,0,0,0,0,1,7
Briscoe,0,0,6,0,0,0,0,0,0,0,6
Brooks,0,0,3,0,0,0,0,0,0,0,3
Brown,3,0,11,1,2,0,0,0,0,4,20
Burleson,0,0,10,0,0,0,0,0,0,0,10
Burnet,0,0,7,0,0,0,0,0,0,0,7
Caldwell,2,0,23,0,0,0,0,0,0,3,28
Calhoun,0,1,17,0,0,0,0,0,0,0,17
Callahan,0,0,8,0,0,0,0,0,0,0,8
Cameron,19,9,46,3,5,1,0,0,0,3,73
Camp,1,0,10,0,1,0,0,0,0,0,12
Carson,0,0,4,0,0,0,0,0,0,0,4
Cass,0,1,11,0,0,0,0,0,0,1,12
Castro,0,0,3,0,0,0,0,0,0,0,3
Chambers,0,0,7,0,0,0,0,0,0,4,11
Cherokee,2,0,22,0,3,0,0,0,0,4,31
Childress,0,0,0,0,1,0,0,0,0,1,2
Clay,0,0,10,0,0,0,0,0,0,2,12
Cochran,0,0,1,0,0,0,0,0,0,0,1
Coke,0,0,7,0,0,0,0,0,0,0,7
Coleman,4,1,12,0,0,0,0,0,0,0,16
Collin,11,1,25,1,1,0,0,0,0,2,39
Collingsworth,0,0,1,0,0,0,0,0,0,1,2
Colorado,3,0,13,0,0,0,0,0,0,1,17
Comal,1,0,15,0,3,0,0,0,0,0,19
Comanche,0,0,13,0,1,0,0,0,0,2,16
Concho,0,0,2,0,0,0,0,0,0,0,2
Cooke,8,0,13,0,0,0,0,0,0,0,21
Coryell,0,4,21,0,1,0,0,0,0,1,23
Cottle,0,0,3,0,0,0,0,0,0,0,3
Crane,0,0,2,0,0,0,0,0,0,0,2
Crockett,0,0,6,0,0,0,0,0,0,2,8
Crosby,0,0,9,0,0,0,0,0,0,0,9
Culberson,0,0,2,0,1,0,0,0,0,0,3
Dallam,1,0,7,0,0,0,0,0,0,1,9
Dallas,37,13,215,26,62,2,0,0,1,22,337
Dawson,1,0,5,1,1,0,0,0,0,1,8
Deaf Smith,0,1,8,0,1,0,0,0,0,1,10
Delta,0,0,8,0,0,0,0,0,0,1,9
Denton,10,1,33,3,5,0,0,0,1,3,52
De Witt,0,1,4,0,0,0,0,0,0,0,4
Dickens,0,0,7,0,0,0,0,0,0,0,7
Dimmit,0,0,3,0,0,0,0,0,0,1,4
Donley,0,1,15,0,0,0,0,0,0,0,15
Duval,0,1,19,0,0,0,0,0,0,1,20
Eastland,8,3,27,0,0,0,1,0,0,0,36
Ector,4,0,9,0,2,0,0,0,1,1,17
Edwards,0,0,4,0,0,0,0,0,0,0,4
Ellis,4,2,29,0,1,0,0,0,0,1,35
El Paso,34,3,60,6,13,0,0,0,1,5,113
Erath,0,0,22,0,2,0,0,0,0,0,24
Falls,2,2,10,0,0,0,0,0,0,0,12
Fannin,1,1,23,0,2,1,0,0,0,0,26
Fayette,0,2,27,0,1,0,0,0,0,0,28
Fisher,0,0,4,0,0,0,0,0,0,3,7
Floyd,0,0,11,0,0,0,0,0,0,0,11
Foard,0,0,2,0,0,0,0,0,0,1,3
Fort Bend,1,1,29,0,0,0,0,0,0,7,37
Franklin,0,0,2,0,0,0,0,0,0,0,2
Freestone,1,0,6,0,0,0,0,0,0,2,9
Frio,0,0,3,0,0,0,0,0,0,0,3
Gaines,0,0,4,1,1,0,0,0,0,0,5
Galveston,42,10,141,18,23,0,0,0,1,24,231
Garza,0,0,1,0,0,0,0,0,0,0,1
Gillespie,0,0,8,2,2,0,0,0,0,0,10
Glasscock,0,0,0,0,0,0,0,0,0,0,0
Goliad,0,0,9,0,0,0,0,0,0,0,9
Gonzales,3,1,12,0,1,0,0,0,0,1,17
Gray,20,0,40,0,1,0,0,0,0,4,65
Grayson,13,0,34,0,1,0,0,0,0,4,52
Gregg,13,0,19,1,2,0,0,0,0,1,35
Grimes,5,0,33,0,0,0,0,0,0,0,38
Guadalupe,1,0,15,1,2,1,0,0,0,4,22
Hale,3,2,12,1,1,0,0,0,0,1,17
Hall,0,0,7,0,0,0,0,0,0,0,7
Hamilton,0,0,13,0,0,0,0,0,0,2,15
Hansford,0,0,7,1,2,0,0,0,0,0,9
Hardeman,0,1,4,0,0,0,0,0,0,2,6
Hardin,0,1,10,0,0,0,0,0,0,3,13
Harris,75,13,216,33,68,5,1,0,0,32,392
Harrison,9,2,15,1,1,0,0,0,0,2,27
Hartley,0,0,3,0,0,0,0,0,0,0,3
Haskell,0,0,8,0,0,0,0,0,0,1,9
Hays,10,1,33,5,6,0,0,0,0,7,56
Hemphill,0,0,3,0,0,0,0,0,0,0,3
Henderson,1,0,8,0,0,0,0,0,0,0,9
Hidalgo,11,2,59,2,6,0,0,0,0,5,81
Hill,4,0,25,0,2,0,0,0,0,2,33
Hockley,3,1,6,0,0,0,0,0,0,1,10
Hood,0,0,19,0,0,0,0,0,0,0,19
Hopkins,2,0,6,0,1,0,0,0,0,0,9
Houston,1,1,22,0,0,0,0,0,0,1,24
Howard,1,0,3,0,0,0,0,0,0,0,4
Hudspeth,0,0,3,0,0,0,1,0,0,0,4
Hunt,5,1,24,0,1,0,0,0,0,2,32
Hutchinson,2,0,4,0,0,0,0,0,0,0,6
Irion,0,0,2,0,0,0,0,0,0,0,2
Jack,0,0,16,1,1,0,0,0,0,1,18
Jackson,0,0,8,0,0,0,0,0,0,1,9
Jasper,0,0,12,0,0,0,0,0,0,2,14
Jeff Davis,0,0,4,0,0,0,0,0,0,0,4
Jefferson,13,5,33,1,2,1,0,0,0,4,52
Jim Hogg,0,0,3,0,0,0,0,0,0,0,3
Jim Wells,4,0,6,0,0,0,0,0,0,3,13
Johnson,10,5,36,2,7,0,0,0,0,6,59
Jones,0,1,21,0,0,0,0,0,0,3,24
Karnes,1,0,16,0,0,0,0,0,0,0,17
Kaufman,8,5,37,0,0,0,0,0,0,1,46
Kendall,0,0,5,0,0,0,0,0,0,1,6
Kenedy,0,0,0,0,0,0,0,0,0,0,0
Kent,0,0,2,1,2,0,0,0,0,0,4
Kerr,2,1,12,0,6,1,0,0,0,0,20
Kimble,0,0,7,0,0,0,0,0,0,1,8
King,0,0,0,0,0,0,0,0,0,0,0
Kinney,0,0,5,1,1,0,0,0,0,1,7
Kleberg,0,2,13,0,2,0,0,0,0,2,17
Knox,0,0,12,0,0,0,0,0,0,0,12
Lamar,18,0,38,2,5,0,0,0,0,6,67
