title,lccn,start_year,end_year,frequency,frequency_normalized,language,place,place_of_publication
Daily advocate.,sn88083865,1800,1896,Daily,Daily,English,Texas-Lamar-Paris,"Paris, Tex."
The daily advocate.,sn91072532,1000,1999,Daily,Daily,English,Texas-Dallas-Dallas,"Dallas, Tex."
Daily afternoon journal.,sn88084296,1898,1900,Daily,Daily,English,Texas-Jefferson-Beaumont,"Beaumont, Tex."
The Daily Alice echo. [volume],sn83026371,1894,9999,Daily except for Saturday and Sunday.,Daily,English,Texas-Jim Wells-Alice,"Alice, Tex."
The Daily Amarillo journal.,sn86088180,1899,1999,Daily (except Mon.),Daily,English,Texas-Potter-Amarillo,"Amarillo, Tex."
The Daily Austin Republican. [volume],sn83021325,1868,1871,Daily (except Sun.),Daily,English,Texas-Travis-Austin,"Austin City [i.e. Austin, Tex.]"
The Daily balance wheel.,sn88083867,1885,1999,Daily,Daily,English,Texas-Lamar-Paris,"Paris, Tex."
The daily banner. [volume],sn86088162,1876,1880,Daily,Daily,English,Texas-Washington-Brenham,"Brenham, Tex."
The Daily Brownwood bulletin.,sn88084146,1800,1999,Daily,Daily,English,Texas-Brown-Brownwood,"Brownwood, Tex."
The Daily bulletin. [volume],sn86088143,1900,1999,Daily (except Sun.),Daily,English,Texas-Brown-Brownwood,"Brownwood, Tex."
Daily bulletin. [volume],sn86088207,1841,1842,Daily,Daily,English,Texas-Travis-Austin,"Austin, Tex."
The Daily bulletin.,sn86090655,1937,1999,Daily,Daily,English,Texas-Ector-Odessa,"Odessa, Tex."
Daily capital.,sn86088232,1884,1899,Daily (except Mon.),Daily,English,Texas-Travis-Austin,"Austin, Tex."
Daily gate city. [volume],sn86089584,1888,9999,Daily,Daily,English,Texas-Webb-Laredo,"Laredo, Tex."
The daily gazette. [volume],sn86089703,1899,1906,Daily (except Sun.),Daily,English,Texas-Collin-McKinney,"McKinney, Tex."
The daily gazette.,sn87090132,1853,9999,Daily (except Mon.),Daily,English,Texas-East Baton Rouge-Baton Rouge,"Baton Rouge, La."
Daily guide. [volume],sn86088720,1917,1939,Daily (except Sun.),Daily,English|Spanish,Texas-Maverick-Eagle Pass,"Eagle Pass, Tex."
The Daily harpoon.,sn86090188,1905,1999,Daily (except Sun.),Daily,English,Texas-Travis-Austin,"Austin, Tex."
The Daily haymaker.,sn87091168,1900,9999,Daily,Daily,English,Texas-Bell-Temple,"Temple, Tex."
The Daily herald and San Antonio public advertiser. [volume],sn86090103,1857,1857,Daily,Daily,English,Texas-Bexar-San Antonio,"San Antonio, Tex."
The daily herald. [volume],sn84022093,1866,1877,Daily,Daily,English,Texas-Bexar-San Antonio,San Antonio [Tex.]
The daily herald. [volume],sn86089174,1892,1897,Daily (except Sunday),Daily,English,Texas-Cameron-Brownsville,"Brownsville, Tex."
The daily herald.,sn86089857,1891,1892,Daily,Daily,English,Texas-Lamar-Paris,"Paris, Tex."
The daily herald.,sn86090187,1900,1999,Daily (except Sun.),Daily,English,Texas-Parker-Weatherford,"Weatherford, Tex."
The daily herald.,sn87091264,1903,9999,Daily,Daily,English,Texas-Bell-Killeen,"Killeen, Tex."
The Daily hesperian. [volume],sn86064207,1869,1999,Daily,Daily,English,Texas-Cooke-Gainesville,"Gainesville, Tex."
Daily Houston telegraph. [volume],sn94059116,1860,1879,Daily,Daily,English,Texas-Harris-Houston,"Houston, Tex."
The daily index.,sn86064227,1900,1999,Daily (except Sun.),Daily,English,Texas-Palo Pinto-Mineral Wells,"Mineral Wells, Tex."
The Daily inquirer. [volume],sn83004780,1897,1991,"Daily (except Sat., Sun. & some holidays)",Daily,English,Texas-Gonzales-Gonzales,"Gonzales, Tex."
Concho daily times.,sn87090111,1880,9999,Weekly,Weekly,English,Texas-Tom Green-Ft. Concho|Texas-Tom Green-San Angelo,"Ft. Concho, Tex."
