field,county,state,subfeild,year,count
str_location_county,AndersonCounty,TX,untl_decade,1850-1859,2
str_location_county,AndersonCounty,TX,untl_decade,1880-1889,5
str_location_county,AndersonCounty,TX,untl_decade,1890-1899,2
str_location_county,AndersonCounty,TX,untl_decade,1900-1909,1617
str_location_county,AndersonCounty,TX,untl_decade,1910-1919,2580
str_location_county,AndersonCounty,TX,untl_decade,1920-1929,303
str_location_county,AndrewsCounty,TX,untl_decade,1900-1909,10
str_location_county,AngelinaCounty,TX,untl_decade,1880-1889,1
str_location_county,AngelinaCounty,TX,untl_decade,1910-1919,1
str_location_county,ArcherCounty,TX,untl_decade,1890-1899,1
str_location_county,ArcherCounty,TX,untl_decade,1900-1909,3
str_location_county,ArcherCounty,TX,untl_decade,1920-1929,38
str_location_county,ArcherCounty,TX,untl_decade,1930-1939,39
str_location_county,ArcherCounty,TX,untl_decade,1940-1949,314
str_location_county,ArcherCounty,TX,untl_decade,1950-1959,517
str_location_county,ArcherCounty,TX,untl_decade,1960-1969,631
str_location_county,ArcherCounty,TX,untl_decade,1970-1979,616
str_location_county,ArcherCounty,TX,untl_decade,1980-1989,524
str_location_county,ArcherCounty,TX,untl_decade,1990-1999,495
str_location_county,ArcherCounty,TX,untl_decade,2000-2009,808
str_location_county,ArcherCounty,TX,untl_decade,2010-2019,246
str_location_county,ArmstrongCounty,TX,untl_decade,1900-1909,1
str_location_county,ArmstrongCounty,TX,untl_decade,1910-1919,50
str_location_county,ArmstrongCounty,TX,untl_decade,1930-1939,403
str_location_county,ArmstrongCounty,TX,untl_decade,1940-1949,466
str_location_county,ArmstrongCounty,TX,untl_decade,1950-1959,470
str_location_county,ArmstrongCounty,TX,untl_decade,1960-1969,312
str_location_county,AustinCounty,TX,untl_decade,1820-1829,2
str_location_county,AustinCounty,TX,untl_decade,1830-1839,20
str_location_county,AustinCounty,TX,untl_decade,1860-1869,247
str_location_county,AustinCounty,TX,untl_decade,1910-1919,462
str_location_county,AustinCounty,TX,untl_decade,1920-1929,452
str_location_county,AustinCounty,TX,untl_decade,1930-1939,417
str_location_county,AustinCounty,TX,untl_decade,1940-1949,522
str_location_county,AustinCounty,TX,untl_decade,1950-1959,518
str_location_county,AustinCounty,TX,untl_decade,1960-1969,514
str_location_county,AustinCounty,TX,untl_decade,1970-1979,521
str_location_county,AustinCounty,TX,untl_decade,1980-1989,514
str_location_county,AustinCounty,TX,untl_decade,1990-1999,205
str_location_county,BanderaCounty,TX,untl_decade,1880-1889,1
str_location_county,BanderaCounty,TX,untl_decade,1940-1949,50
str_location_county,BanderaCounty,TX,untl_decade,1950-1959,259
str_location_county,BanderaCounty,TX,untl_decade,1960-1969,467
str_location_county,BanderaCounty,TX,untl_decade,1970-1979,366
str_location_county,BastropCounty,TX,untl_decade,1850-1859,6
str_location_county,BastropCounty,TX,untl_decade,1870-1879,157
str_location_county,BastropCounty,TX,untl_decade,1880-1889,304
str_location_county,BastropCounty,TX,untl_decade,1890-1899,469
str_location_county,BastropCounty,TX,untl_decade,1900-1909,475
str_location_county,BastropCounty,TX,untl_decade,1910-1919,434
str_location_county,BastropCounty,TX,untl_decade,1920-1929,351
str_location_county,BastropCounty,TX,untl_decade,1930-1939,390
str_location_county,BastropCounty,TX,untl_decade,1940-1949,592
str_location_county,BastropCounty,TX,untl_decade,1950-1959,824
str_location_county,BastropCounty,TX,untl_decade,1960-1969,725
str_location_county,BastropCounty,TX,untl_decade,1970-1979,870
str_location_county,BastropCounty,TX,untl_decade,1980-1989,710
str_location_county,BastropCounty,TX,untl_decade,1990-1999,467
str_location_county,BastropCounty,TX,untl_decade,2000-2009,281
str_location_county,BastropCounty,TX,untl_decade,2010-2019,164
str_location_county,BaylorCounty,TX,untl_decade,1880-1889,1
str_location_county,BaylorCounty,TX,untl_decade,1890-1899,41
str_location_county,BaylorCounty,TX,untl_decade,1900-1909,99
str_location_county,BaylorCounty,TX,untl_decade,1910-1919,218
str_location_county,BaylorCounty,TX,untl_decade,1920-1929,129
str_location_county,BaylorCounty,TX,untl_decade,1940-1949,238
str_location_county,BaylorCounty,TX,untl_decade,1950-1959,346
str_location_county,BaylorCounty,TX,untl_decade,1960-1969,52
str_location_county,BeeCounty,TX,untl_decade,1990-1999,14
