Term	Count		
"Business, Economics and Finance - Communications - Newspapers"	897391	14.73%	14.73%
"Business, Economics and Finance - Advertising"	892117	14.65%	29.38%
"Business, Economics and Finance - Journalism"	886451	14.55%	43.93%
"Business, Economics and Finance - Communications - Media"	281782	4.63%	48.56%
People - Individuals	164216	2.70%	51.25%
Architecture - Buildings	116104	1.91%	53.16%
Landscape and Nature - Geography and Maps	85466	1.40%	54.56%
Social Life and Customs - Correspondence	83282	1.37%	55.93%
Arts and Crafts - Music	68364	1.12%	57.05%
Education - Colleges and Universities - University of North Texas	56864	0.93%	57.98%
Education - Schools - Students	49936	0.82%	58.80%
Social Life and Customs	42629	0.70%	59.50%
Places - United States - Texas - Harris County	37634	0.62%	60.12%
People - Ethnic Groups - African Americans	35041	0.58%	60.70%
Government and Law - Texas Laws and Regulations	33421	0.55%	61.24%
Social Life and Customs - Clubs and Organizations	32596	0.54%	61.78%
Education - Colleges and Universities - Faculty and Staff	32201	0.53%	62.31%
Places - United States - Texas - Bexar County - San Antonio	23883	0.39%	62.70%
Science and Technology	23324	0.38%	63.08%
Social Life and Customs - Meetings and Conferences	23285	0.38%	63.47%
Places - United States - Texas - Harris County - Houston	22845	0.38%	63.84%
People - Groups	22537	0.37%	64.21%
People	21621	0.35%	64.57%
Arts and Crafts - Theatre	21540	0.35%	64.92%
Government and Law - Elected Officials - Attorneys General	21531	0.35%	65.27%
Places - United States - Texas - DeWitt County	21103	0.35%	65.62%
Government and Law - Law Enforcement - Police	20351	0.33%	65.95%
Places - United States - Texas - Taylor County - Abilene	20147	0.33%	66.28%
Places - United States - Texas	20129	0.33%	66.61%
"Business, Economics and Finance - Transportation - Automobiles"	19811	0.33%	66.94%
Places - United States - Texas - Grayson County	19534	0.32%	67.26%
People - Children	19419	0.32%	67.58%
Places - United States - Texas - Galveston County - Galveston	19189	0.32%	67.89%
Arts and Crafts	18797	0.31%	68.20%
Places - United States - Texas - Washington County - Brenham	18631	0.31%	68.51%
"Business, Economics and Finance - Finance"	17417	0.29%	68.79%
Places - United States - Texas - Denton County - Denton	17200	0.28%	69.08%
Places - United States - Texas - Cameron County - Brownsville	16820	0.28%	69.35%
Military and War - Wars - World War II	16723	0.27%	69.63%
Social Life and Customs - Homes	15647	0.26%	69.88%
"Business, Economics and Finance"	15207	0.25%	70.13%
Places - United States - Texas - Dallas County	14416	0.24%	70.37%
Places - United States - Texas - Tarrant County - Fort Worth	14336	0.24%	70.61%
Military and War - Personnel	14270	0.23%	70.84%
Places - United States - Texas - San Patricio County	13665	0.22%	71.06%
Arts and Crafts - Dance	13546	0.22%	71.29%
Places - United States - Texas - Bexar County	13227	0.22%	71.50%
Sports and Recreation - Football	13227	0.22%	71.72%
Places - United States - Texas - El Paso County - El Paso	13034	0.21%	71.93%
Government and Law - Money	12942	0.21%	72.15%
Places - United States - Texas - Brown County - Brownwood	12937	0.21%	72.36%
Government and Law - Elected Officials - Representatives	12918	0.21%	72.57%
Government and Law - Law Enforcement - Investigations	12683	0.21%	72.78%
Government and Law	12633	0.21%	72.99%
People - Ethnic Groups - Hispanics	12479	0.20%	73.19%
Places - United States - Texas - Dallas County - Dallas	12055	0.20%	73.39%
Places - United States - Texas - Hopkins County	11507	0.19%	73.58%
Architecture - Civil Works - Streets and Roads	10843	0.18%	73.76%
Education - Colleges and Universities	10791	0.18%	73.93%
Government and Law - Politics	10636	0.17%	74.11%
Places - United States - Texas - McLennan County	10560	0.17%	74.28%
Places - United States - Texas - Fannin County	10297	0.17%	74.45%
Places - United States - Texas - Fayette County	10127	0.17%	74.62%
Government and Law - Vital Records - Deaths	10002	0.16%	74.78%
Places - United States - Texas - Johnson County	9946	0.16%	74.94%
Places - United States - Texas - Bell County	9844	0.16%	75.11%
Sports and Recreation - Riding - Horses	9805	0.16%	75.27%
Places - United States - Texas - Nueces County	9765	0.16%	75.43%
Government and Law - County Courthouses	9551	0.16%	75.58%
Military and War - United States Armed Forces - United States Army	9515	0.16%	75.74%
Places - United States - Texas - Lampasas County	9420	0.15%	75.90%
Places - United States - Texas - Matagorda County	9231	0.15%	76.05%
Places - United States - Texas - Erath County	9176	0.15%	76.20%
Social Life and Customs - Customs - Celebrations	8981	0.15%	76.34%
