,NAME,DATE_RUN,FILE_NAME
0,Agriculture-DomesticAnimals,11/15/2022,Agriculture-DomesticAnimals.txt
1,Agriculture-DomesticAnimals-Cattle,11/15/2022,Agriculture-DomesticAnimals-Cattle.txt
2,Agriculture-DomesticAnimals-Horses,11/15/2022,Agriculture-DomesticAnimals-Horses.txt
3,Architecture-Buildings,11/15/2022,Architecture-Buildings.txt
4,ArtsAndCrafts-Music,11/15/2022,ArtsAndCrafts-Music.txt
5,ArtsAndCrafts-Theatre,11/15/2022,ArtsAndCrafts-Theatre.txt
6,BusinessEconomicsAndFinance-Advertising,11/15/2022,"BusinessEconomicsAndFinance-Advertising(300,000).txt"
7,BusinessEconomicsAndFinance-Communications-Media,11/15/2022,BusinessEconomicsAndFinance-Communications-Media.txt
8,BusinessEconomicsAndFinance-Communications-Newspapers,11/15/2022,"BusinessEconomicsAndFinance-Communications-Newspapers(300,000).txt"
9,BusinessEconomicsAndFinance-Journalism,11/15/2022,"BusinessEconomicsAndFinance-Journalism(300,000).txt"
10,Education-CollegesAndUniversities-FacultyAndStaff,11/15/2022,Education-CollegesAndUniversities-FacultyAndStaff.txt
11,Education-CollegesAndUniversities-UniversityOfNorthTexas,11/15/2022,Education-CollegesAndUniversities-UniversityOfNorthTexas.txt
12,Education-Schools-Students,11/15/2022,Education-Schools-Students.txt
13,GovernmentAndLaw-TexasLawsAndRegulations,11/15/2022,GovernmentAndLaw-TexasLawsAndRegulations.txt
14,LandscapeAndNature-GeographyAndMaps,11/15/2022,LandscapeAndNature-GeographyAndMaps.txt
15,MilitaryAndWar-Personnel,11/15/2022,MilitaryAndWar-Personnel.txt
16,People-EthnicGroups-AfricanAmericans,11/15/2022,People-EthnicGroups-AfricanAmericans.txt
17,People-Groups,11/15/2022,People-Groups.txt
18,People-Individuals,11/15/2022,People-Individuals.txt
19,Places-UnitedStates-Texas-HarrisCounty,11/15/2022,Places-UnitedStates-Texas-HarrisCounty.txt
20,ScienceAndTechnology,11/15/2022,ScienceAndTechnology.txt
21,SocialLifeAndCustoms,11/15/2022,SocialLifeAndCustoms.txt
22,SocialLifeAndCustoms-ClubsAndOrganizations,11/15/2022,SocialLifeAndCustoms-ClubsAndOrganizations.txt
23,SocialLifeAndCustoms-Correspondence,11/15/2022,SocialLifeAndCustoms-Correspondence.txt
24,SportsAndRecreation-Football,11/15/2022,SportsAndRecreation-Football.txt
