SubjectTerm	CollocationCount
Agriculture - Domestic Animals - Horses	4366
Sports and Recreation - Riding - Horses	1182
"Business, Economics and Finance - Communications - Media"	910
news stories	763
news segments	755
Television broadcasting of news.	608
video clips	472
video footage	472
Television news programs	471
"Business, Economics and Finance - Transportation - Horse-Drawn Vehicles"	443
Agriculture - Ranching - Cowboys	414
People - Individuals	326
People - Groups	310
Agriculture - Domestic Animals - Cattle	306
scripts	283
Social Life and Customs - Clubs and Organizations - National Cutting Horse Association	280
Competition horses -- Photographs.	276
Show horses -- Photographs.	273
People	262
Agriculture - Ranching - Ranches	260
Social Life and Customs - Correspondence	257
Cutting horses -- Photographs.	241
People - Children	209
Military and War - Wars - Mexican Revolution	200
Architecture - Buildings	193
Social Life and Customs - Customs - Parades	186
Sports and Recreation - Rodeos	160
Military and War - Personnel	157
cutting horses	149
Military and War - United States Armed Forces - United States Army	141
wagons	129
"Business, Economics and Finance - Transportation - Automobiles"	128
interviews	125
Cutting horse competitions -- Texas.	119
Architecture - Civil Works - Streets and Roads	118
carriages	110
Cauble Ranch	103
cutting competitions	96
Agriculture - Ranching	94
horses	91
Patents -- Texas.	84
Social Life and Customs - Homes	84
Lambshead Ranch	82
Matthews Land and Cattle Company	77
People - Family Groups	75
Social Life and Customs - Pets - Dogs	73
Cutting horse competitions	70
Science and Technology	70
Government and Law - Law Enforcement - Police	69
Agriculture - Farming	67
Social Life and Customs - Competitions	67
Social Life and Customs - Fairs and Exhibitions	67
Social Life and Customs - Families	67
Agriculture - Processing and Storage - Barns	64
Military and War - Wars - Civil War	61
Cattle Raisers Museum	60
"Business, Economics and Finance - Transportation - Animal-Drawn Vehicles"	58
Cutter Bill Arena	57
Government and Law	57
Agriculture - Domestic Animals - Horses - Tack	54
Agriculture - Domestic Animals - Mules	54
Landscape and Nature	54
Social Life and Customs - Awards	54
Architecture	52
Landscape and Nature - Deserts	52
flags	52
Mexican-American Border Region	50
"Mexico -- History -- Revolution, 1910-1920."	49
alcaldes	48
portraits	48
trees	47
Military and War - Uniforms and Insignia	46
diseases	46
Places - United States - Texas - Grimes County	45
Cowtown Posse	44
Government and Law - Civil Servants - Firefighters	44
Government and Law - County Courthouses	44
Landscape and Nature - Mountains	44
Military and War - Wars - World War II	44
WWII	44
animals	44
Cutting (Horsemanship) -- Competitions -- Texas -- Fort Worth.	43
Places - Mexico	42
Cutting (Horsemanship)	41
Military and War - Transportation	41
Military and War - Weapons	41
"Mexico -- History -- Revolution, 1910-1920 -- Photographs."	40
horseback riding	40
letters	40
Government and Law - Money	39
Silhouettes	39
Military and War - Camps	38
Places - Mexico - Texas	38
Social Life and Customs - Firearms	38
"Business, Economics and Finance"	37
Education - Colleges and Universities - Hardin-Simmons University	37
Military and War	37
National Cutting Horse Futurity	37
events	37
Mexican revolutionaries	36
Social Life and Customs - Customs - Celebrations	36
justices of the peace	36
Bar Money Ranch	35
Communication Artifact	35
National Cutting Horse Association	35
cows	35
vee	35
Landscape and Nature - Water - Rivers	34
Colts	33
Social Life and Customs - Clubs and Organizations	33
U.S. soldiers	33
fences	33
ranchers	33
Documentary Artifact	32
Foals	32
Quarter horse -- Photographs.	32
calf cutting	32
fields	32
Agriculture - Farm Equipment - Plows	31
Agriculture - Farming - Cotton	31
"Business, Economics and Finance - Advertising"	31
Landscape and Nature - Plants	31
Science and Technology - Biology	31
soldiers	31
"Business, Economics and Finance - Transportation - Aviation - Airplanes"	30
"Business, Economics and Finance - Transportation - Trucks"	30
"Moore, Charles B., 1822-1901 -- Archives."	29
Social Life and Customs - Travel	29
U.S. army	29
calf roping	29
cowgirls	29
guns	29
Horses	28
Landscape and Nature - Weather and Climate	28
"Rose, Matlock"	28
United States. Army. 12th Armored Division -- Photographs.	28
b-roll	28
ponies	28
stock shows	28
Agriculture - Farm Equipment	27
Mares	27
crowds	27
quarter horses	27
Arts and Crafts - Music - Marching Bands	26
Bar Money	26
"Business, Economics and Finance - Stores"	26
Social Life and Customs - Clothing	26
cowboys	26
"Business, Economics and Finance - Transportation - Railroads - Trains"	25
Social Life and Customs - Popular Culture - Television	25
houses	25
Landscape and Nature - Forests	24
Social Life and Customs - Clothing - Accessories - Hats	24
Sports and Recreation - Racing	24
postcards	24
requests	24
Education - Schools - Students	23
circuses	23
crimes	23
performers	23
Cutter Bill	22
Fields	22
Places - United States - Texas - Deaf Smith County - Hereford	22
Portraits	22
Television broadcasting of news	22
U.S. - Mexico border	22
buggies	22
claims	22
spectators	22
Agriculture - Domestic Animals - Donkeys	21
Agriculture - Domestic Animals - Swine	21
"Business, Economics and Finance - Service Industries - Photography"	21
