Term	CollocationCount
Agriculture	17
Agriculture - Domestic Animals	13
Agriculture - Domestic Animals - Cattle	306
Agriculture - Domestic Animals - Donkeys	21
Agriculture - Domestic Animals - Goats	6
Agriculture - Domestic Animals - Horses	4379
Agriculture - Domestic Animals - Horses - Tack	54
Agriculture - Domestic Animals - Mules	54
Agriculture - Domestic Animals - Poultry	14
Agriculture - Domestic Animals - Poultry - Turkeys	2
Agriculture - Domestic Animals - Sheep	10
Agriculture - Domestic Animals - Swine	21
Agriculture - Farm Equipment	27
Agriculture - Farm Equipment - Irrigation	1
Agriculture - Farm Equipment - Plows	31
Agriculture - Farm Equipment - Scythes	1
Agriculture - Farm Equipment - Threshers	10
Agriculture - Farm Equipment - Tractors	16
Agriculture - Farming	67
Agriculture - Farming - Citrus and Fruit	9
Agriculture - Farming - Corn	12
Agriculture - Farming - Cotton	31
Agriculture - Farming - Dairy	5
Agriculture - Farming - Hay	10
Agriculture - Farming - Potatoes	1
Agriculture - Farming - Rice	2
Agriculture - Farming - Sorghum	1
Agriculture - Farming - Vegetables	2
Agriculture - Farming - Wheat	15
Agriculture - Processing and Storage	4
Agriculture - Processing and Storage - Barns	64
Agriculture - Processing and Storage - Cotton Gins	2
Agriculture - Processing and Storage - Meat Packing	2
Agriculture - Ranching	94
Agriculture - Ranching - Barbed Wire	11
Agriculture - Ranching - Cattle Brands	7
Agriculture - Ranching - Cattle Trails	17
Agriculture - Ranching - Cowboys	415
Agriculture - Ranching - Ranches	259
Agriculture - Stock Tanks	4
