Term	CollocationCount
Education - Colleges and Universities - Faculty and Staff	32147
Education - Schools - Students	25421
Education - Colleges and Universities - University of North Texas	13364
Education - Colleges and Universities	3786
Education - Colleges and Universities - Rice University	2957
Education - Colleges and Universities - Texas Wesleyan University	2004
Education - Colleges and Universities - Lamar University	2000
Education - Colleges and Universities - San Antonio College	1676
Education - Colleges and Universities - University of Dallas	896
Education - Events	795
Education - Colleges and Universities - Texas Lutheran University	648
Education - Colleges and Universities - McMurry University	640
Education - Colleges and Universities - Tarrant County College	601
Education - Colleges and Universities - Texas State University	568
Education - Colleges and Universities - Panola College	446
Education - Colleges and Universities - St. Philip's College	428
Education - Colleges and Universities - St. Edward's University	406
Education - Colleges and Universities - Hardin-Simmons University	369
Education - Alumni	358
Education - Colleges and Universities - Temple College	338
Education - Schools - Teachers	245
Education - Colleges and Universities - Tarleton State University	214
Education - Schools - Buildings	201
Education - Commencement	154
Education - Colleges and Universities - Texas A&M University	151
Education - Colleges and Universities - Western Texas College	139
Education - Colleges and Universities - South Plains College	134
Education - Schools - Classes	118
Education - Events - Homecoming	89
Education	78
Education - Colleges and Universities - Abilene Christian University	75
Education - Colleges and Universities - Southwestern University	71
Education - Yearbooks	60
Education - Colleges and Universities - University of Texas	41
Education - Colleges and Universities - Southern Methodist University	31
Education - Colleges and Universities - Lee College	23
Education - Textbooks	23
Education - Colleges and Universities - Palo Alto College	22
Education - Colleges and Universities - Texas Christian University	20
Education - Colleges and Universities - University of Texas at Arlington	20
Education - Colleges and Universities - Concordia University Texas	19
Education - Schools	12
Education - Schools - Cheerleaders	10
Education - Colleges and Universities - Howard Payne University	8
Education - Colleges and Universities - Texas Woman's University	8
Education - Colleges and Universities - Baylor University	7
Education - Colleges and Universities - Texas Tech University	7
Education - Colleges and Universities - Bishop College	5
Education - Colleges and Universities - West Texas A&M University	5
Education - Diplomas	5
Education - Colleges and Universities - Austin College	3
Education - Colleges and Universities - Eastfield College	3
Education - Schools - Principals	3
Education - Colleges and Universities - North Lake College	2
Education - Colleges and Universities - Schreiner University	1
