Term	CollocationCount
Education - Colleges and Universities - University of North Texas	52613
Education - Schools - Students	19086
Education - Colleges and Universities - Faculty and Staff	13364
Education - Events	3940
Education - Schools - Buildings	1621
Education	1505
Education - Events - Homecoming	1166
Education - Commencement	882
Education - Schools - Classes	701
Education - Schools - Teachers	664
Education - Alumni	576
Education - Schools - Cheerleaders	411
Education - Schools	171
Education - Yearbooks	139
Education - Colleges and Universities - Texas Christian University	102
Education - Colleges and Universities	76
Education - Colleges and Universities - Southern Methodist University	68
Education - Colleges and Universities - Texas A&M University	51
Education - Colleges and Universities - University of Texas at Arlington	42
Education - Colleges and Universities - University of Texas	38
Education - Colleges and Universities - Baylor University	37
Education - Textbooks	36
Education - Diplomas	33
Education - Colleges and Universities - Texas Woman's University	31
Education - Colleges and Universities - West Texas A&M University	30
Education - Schools - Principals	13
Education - Colleges and Universities - Texas Wesleyan University	11
Education - Colleges and Universities - Texas State University	8
Education - Colleges and Universities - Texas Tech University	8
Education - Colleges and Universities - Lamar University	7
Education - Colleges and Universities - Rice University	6
Education - Colleges and Universities - Abilene Christian University	5
Education - Colleges and Universities - University of Dallas	4
Education - Colleges and Universities - Tarrant County College	3
Education - Colleges and Universities - Hardin-Simmons University	2
Education - Colleges and Universities - Southwestern University	2
Education - Colleges and Universities - Brookhaven College	1
Education - Colleges and Universities - North Lake College	1
