Term	CollocationCount
Government and Law	11884
Government and Law - Politics	175
Government and Law - Law Enforcement - Police	161
Government and Law - Money	121
Government and Law - Elected Officials - County Judges	96
Government and Law - Elected Officials	87
Government and Law - Taxes	80
Government and Law - Texas Laws and Regulations	79
Government and Law - Law Enforcement - Jails and Prisons	78
Government and Law - County Courthouses	73
Government and Law - Law Enforcement - Investigations	69
Government and Law - Vital Records - Deaths	65
Government and Law - Politics - Speeches	58
Government and Law - Elected Officials - Presidents	56
Government and Law - Law Enforcement	54
Government and Law - Elected Officials - Senators	48
Government and Law - Federal Courthouses	41
Government and Law - Elected Officials - Attorneys General	35
Government and Law - Elected Officials - Governors	33
Government and Law - Elected Officials - Congress	31
Government and Law - City Halls	28
Government and Law - Civil Servants - Firefighters	27
Government and Law - State Agencies	26
Government and Law - Elected Officials - Mayors	24
Government and Law - Legislative Committees	23
Government and Law - Elected Officials - Supreme Court Judges	22
Government and Law - Elected Officials - Representatives	18
Government and Law - Law Enforcement - Sheriffs	16
Government and Law - Court Reports	14
Government and Law - Legal Documents	14
Government and Law - Legal Documents - Divorces	11
Government and Law - Vital Records - Marriages	10
Government and Law - Civil Servants - Postal Service	8
Government and Law - Elected Officials - Vice Presidents	8
Government and Law - Legal Documents - Deeds	8
Government and Law - County Records	5
Government and Law - Constitutions	4
Government and Law - Civil Servants	3
Government and Law - Vital Records - Births	3
Government and Law - Legal Documents - Land Grants	2
Government and Law - Money - Paper Money	2
Government and Law - City Charters	1
Government and Law - Court Dockets	1
Government and Law - Law Enforcement - Constables	1
Government and Law - State Capitols	1
