Term	CollocationCount
People	128
People - Children	1889
People - Ethnic Groups	42
People - Ethnic Groups - African Americans	799
People - Ethnic Groups - American Indians	19
People - Ethnic Groups - American Indians - Comanches	2
People - Ethnic Groups - American Indians - Karankawas	1
People - Ethnic Groups - American Indians - Kiowas	1
People - Ethnic Groups - Chinese	4
People - Ethnic Groups - Czechs	4
People - Ethnic Groups - English	3
People - Ethnic Groups - French	2
People - Ethnic Groups - Germans	63
People - Ethnic Groups - Hispanics	170
People - Ethnic Groups - Indians	1
People - Ethnic Groups - Italians	5
People - Ethnic Groups - Japanese	8
People - Ethnic Groups - Jews	5
People - Ethnic Groups - Koreans	1
People - Ethnic Groups - Poles	4
People - Ethnic Groups - Russians	6
People - Family Groups	438
People - Groups	22763
People - Groups - Pioneers	13
People - Human Remains	26
People - Individuals	623
People - Individuals - Sam Rayburn	1
People - Individuals - Sarah T. Hughes	1
