Term	CollocationCount
People	20825
People - Children	263
People - Groups	129
People - Ethnic Groups - African Americans	75
People - Individuals	55
People - Ethnic Groups - Hispanics	30
People - Family Groups	15
People - Ethnic Groups - American Indians	9
People - Ethnic Groups	8
People - Groups - Pioneers	8
People - Ethnic Groups - Germans	7
People - Ethnic Groups - American Indians - Alabamas	5
People - Ethnic Groups - American Indians - Coushattas	5
People - Ethnic Groups - French	5
People - Ethnic Groups - Indians	4
People - Human Remains	2
People - Ethnic Groups - American Indians - Cherokees	1
People - Ethnic Groups - Chinese	1
People - Ethnic Groups - Irish	1
People - Ethnic Groups - Japanese	1
People - Ethnic Groups - Jews	1
People - Ethnic Groups - Russians	1
People - Individuals - Stephen F. Austin	1
