Term	CollocationCount
Places - United States - Texas - Harris County	36992
Places - United States - Texas - Fort Bend County	480
Places - United States - Texas - Galveston County	463
Places - United States - Texas - Brazoria County	459
Places - United States - Texas - Montgomery County	164
Places - United States - Texas - Chambers County	131
Places - United States - Texas - Liberty County	118
Places - United States - Texas - Waller County	39
Places - United States - Texas - Grimes County	5
Places - United States - Texas - Dallas County	4
Places - United States - Texas - Austin County	2
Places - United States - Texas - Bexar County	2
Places - United States - Texas - Hidalgo County	2
Places - United States - Texas - Jefferson County	2
Places - United States - Texas - Somervell County - Glen Rose	2
Places - United States - Texas - Tarrant County	2
Places - United States - Texas - Tarrant County - Fort Worth	2
Places - United States - Texas - Travis County - Austin	2
Places - United States - Texas - Aransas County	1
Places - United States - Texas - Calhoun County	1
Places - United States - Texas - Cameron County	1
Places - United States - Texas - Hardin County	1
Places - United States - Texas - Houston County	1
Places - United States - Texas - Jackson County	1
Places - United States - Texas - Jim Wells County	1
Places - United States - Texas - Kenedy County	1
Places - United States - Texas - Kleberg County	1
Places - United States - Texas - Matagorda County	1
Places - United States - Texas - Nueces County	1
Places - United States - Texas - Orange County	1
Places - United States - Texas - Refugio County	1
Places - United States - Texas - San Jacinto County	1
Places - United States - Texas - San Patricio County	1
Places - United States - Texas - Victoria County	1
Places - United States - Texas - Wharton County	1
Places - United States - Texas - Willacy County	1
