aubrey_identifier	display_title	dc_subject.KWD_facet																		
ark:/67531/metapth1258871	Hog-Crate	animal crates	hogs	pigs																
ark:/67531/metapth1283330	[Child and Animal Statue]	statues																		
ark:/67531/metadc1063068	[News Clip: Stock show]	Fort Worth Stockyards	interviews	news segments	news stories	pot bellied pigs	video clips	video footage												
ark:/67531/metapth1270463	"[Letter from Judy Joiner to Truett Latimer, April 13, 1959]"	San Angelo Central High School	legislation																	
ark:/67531/metapth1258360	Silo.	conveyers	conveyors	feed systems	llivestock	silos														
ark:/67531/metadc307711	[News Clip: McKeon Court Martial is Called Mistake ; Marciano ; Tarrant County 4-H Club Fair Opens ; Police Identify Amnesia Victim ; Bird and Cat]	Lake Ecko	Veterans of Foreign Wars	boxing	courts martial	news segments	news stories	parakeets	video clips	video footage										
ark:/67531/metadc1079212	[News Script: Porpoise]	news stories	scripts	zoos																
ark:/67531/metadc1081950	[News Script: Porpoise]	news stories	porpoises	scripts	zoos															
ark:/67531/metadc1083584	[News Clip: Referendum]	Sound Animal Control	Texas State Fair in Dallas	elections	news segments	news stories	petitions	referendums	spay and neuter clinics	video clips	video footage	voters								
ark:/67531/metadc1079284	[News Script: Hippo]	Dallas Zoo	hippopotamus	news stories	scripts															
ark:/67531/metadc1080327	[News Script: Chimpanzee]	chimpanzees	monkeys	museums	news stories	scripts														
ark:/67531/metadc303488	[Boys cleaning oil lamps]	Appalachia	Oil Lamps																	
ark:/67531/metadc303595	[Boy & Dog Stacking Hay]	Appalachia	crops	dogs																
ark:/67531/metadc303435	[Brother & Sister Barefoot with Dog]	Appalachia	Dogs	siblings																
ark:/67531/metadc303607	[Boy with fishin' pole and dog]																			
ark:/67531/metadc303361	[Smokehouse]	Appalachia	Smokehouses	dogs	sheds															
ark:/67531/metadc306194	[News Script: Tarrant County 4-H Club fair opened]	news segments	news stories	scripts																
ark:/67531/metadc227488	[Portrait of a falcon]	UNT	college campuses	falconing																
ark:/67531/metadc1541998	[News Script: Baboons]	World of animals	baboons	news segments	news stories	scripts														
ark:/67531/metadc1547786	[News Script: Range fire]	acres	fire departments	livestocks	news segments	news stories	scripts													
ark:/67531/metadc1126079	[News Clip: Animals rabbits & chickens]	Easter eggs	animal breeding	bunnies	chickens	hens	news segments	news stories	rabbits	video clips	video footage									
ark:/67531/metadc1126114	[News Clip: Buffalo]	news segments	news stories	video clips	video footage															
ark:/67531/metadc1126173	[News Clip: Boneheads]	Boneheads Club of Dallas	achievement awards	events	fraternities	luncheons	news segments	news stories	video clips	video footage										
ark:/67531/metadc1128258	[News Clip: Animal]	Charity Organizations	Humane Society	memberships	news segments	news stories	video clips	video footage												
ark:/67531/metadc1128085	[News Clip: Chicken Wins]	news segments	news stories	video clips	video footage															
ark:/67531/metadc1128744	[News Clip: Mules]	audiences	events	news segments	news stories	ranchers	show animals	video clips	video footage											
ark:/67531/metadc1126898	[News Clip: Tape open]	news segments	news stories	snakes	video clips	video footage	zoos													
ark:/67531/metadc1126989	[News Clip: Dognapping]	Animal Control	animal shelters	criminals	dog mills	news segments	news stories	puppy mills	stolen animals	thefts	video clips	video footage								
ark:/67531/metadc1127345	[News Clip: Bunny sales]	birds	bunnies	news segments	news stories	rabbits	sales	video clips	video footage											
ark:/67531/metadc499645	"[Silhouette of Jimmy Powell and his dog, Old Tize]"	Appalachia	Dogs	Plows																
ark:/67531/metadc498024	[News Script: Champion Steer at Show Brings $6000]	cows	news segments	news stories	scripts															
ark:/67531/metadc498840	[News Script: Zoo]	news segments	news stories	scripts	zoos															
ark:/67531/metadc498886	[News Script: New Arrivals Make Home at Dallas Zoo]	news segments	news stories	scripts	zoos															
ark:/67531/metadc498285	[News Script: Baby gorilla makes hit with zoo crowds]	news segments	news stories	scripts																
ark:/67531/metadc498449	[News Script: Fat Stock Show in Opening Performance]	news segments	news stories	scripts																
ark:/67531/metadc1214110	[News Script: Elephant]	elephants	fundraisers	news segments	news stories	scripts														
ark:/67531/metadc1215704	[News Script: Pet]	lawsuits	lions	news segments	news stories	scripts	veterinarians													
ark:/67531/metadc1214380	[News Script: Steelworkers Union]	Steelworkers Union	groundhogs	news segments	news stories	protests	scripts	zoos												
ark:/67531/metadc1216649	[News Script: Animal]	Bongos	U. S. Department of Agriculture	antelopes	news segments	news stories	scripts	zoos												
ark:/67531/metadc1216551	[News Script: Parrot]	news segments	news stories	ocelots	parrots	pet shops	scripts													
ark:/67531/metadc1246813	[News Clip: Still]	alcohol	farmers	interviews	news segments	news stories	video clips	video footage												
ark:/67531/metadc1245116	[News Clip: Baby gorilla]	baby gorillas	crowds	gorillas	interviews	new born gorillas	news segments	news stories	species	video clips	video footage	zoos								
ark:/67531/metadc1246890	[News Clip: Circus change]	circuses	costumes	interviews	jobs	news segments	news stories	performances	performers	posters	safety	trends	video clips	video footage						
ark:/67531/metadc1246397	[News Clip: Fire codes]	circuses	clowns	fire codes	flames	interviews	news segments	news stories	performances	performers	permits	shows	video clips	video footage						
ark:/67531/metadc1246629	[News Clip: Flood folo]	editors	elephants	houses	interviews	neighborhoods	neighbors	news segments	news stories	residents	video clips	video footage	zoos							
ark:/67531/metadc1246162	[News Clip: Winter coats]	Dallas Zoo	Texas weather	animal care	buffalo	news segments	news stories	okapis	temperature changes	temperature differences	video clips	video footage	weather fluctuations							
ark:/67531/metapth1515	[C. A. Moers lot located at highway 36 and 90.]	C. A. Moers	Print\	Photographic																
ark:/67531/metapth174109	Refrigerator.	cabinets	cooling	ice-boxes	refrigerators															
ark:/67531/metapth174435	Stock-Guard.	grids	herds	pasturing	straying															
ark:/67531/metapth173841	Gate.	gates	spring-operated																	
ark:/67531/metapth170922	Remedy For Chicken-Cholera.	avian cholera	fowl cholera	pasteurellosis	veterinary science															
ark:/67531/metapth170573	Sheep-Dip.	mites																		
ark:/67531/metapth170664	Bee-Hive	bees																		
ark:/67531/metapth182800	"[Letter from Michael M. Kennard to A.D Kennard, February 25, 1860]"																			
ark:/67531/metapth182709	"[Transcript of Letter from Maud C. Fentress to her son David W. Fentress, June 6, 1860]"																			
ark:/67531/metapth169755	Improvement in Corn-Cob Splitters.																			
ark:/67531/metapth173875	Doubletree.	double trees	doubletrees																	
ark:/67531/metapth174317	Combined Halter and Weaning-Muzzle.	dogs	halters	muzzles	weaning															
ark:/67531/metapth15058	"John D. Anderson, Veterinarian"	John D. Anderson	Veterinarians																	
ark:/67531/metapth182578	[Man on horse leading steer]	cattle	herding	horses																
ark:/67531/metapth187845	[Dove Housing]	Doves	W.H. Horne																	
ark:/67531/metapth187274	"[American Shorthorn Breeders' Association Registry Certificate, December 13, 1917]"																			
ark:/67531/metapth20225	Mr. Lynch On His Way to Discover Mineral Wells	cartoons	drawings																	
ark:/67531/metapth20226	The First Well Was Dug Here in 1877	cartoons	drawings	wells																
ark:/67531/metapth20230	[The Murphy Family]																			
ark:/67531/metapth20076	Interior of Dr. Crabb's Veterinary Clinic	Dr. Crabb	veterinarians																	
ark:/67531/metapth158445	"78th Texas Legislature, Regular Session, House Bill 240, Chapter 1280"																			
ark:/67531/metapth284945	[Jethro Holmes and His Ox]	festivals																		
ark:/67531/metapth241016	Cutting Horse Competition: Image 1991_D-239_06	NCHA	derbies	horse shows																
ark:/67531/metapth241017	Cutting Horse Competition: Image 1991_D-239_07	NCHA	derbies	horse shows																
ark:/67531/metapth241018	Cutting Horse Competition: Image 1991_D-239_08	NCHA	derbies	horse shows																
ark:/67531/metapth241019	Cutting Horse Competition: Image 1991_D-239_09	NCHA	derbies	horse shows																
ark:/67531/metapth241020	Cutting Horse Competition: Image 1991_D-239_10	NCHA	derbies	horse shows																
ark:/67531/metapth241021	Cutting Horse Competition: Image 1991_D-239_11	NCHA	derbies	horse shows																
ark:/67531/metapth241022	Cutting Horse Competition: Image 1991_D-239_12	NCHA	derbies	horse shows																
ark:/67531/metapth241023	Cutting Horse Competition: Image 1991_D-23_01	NCHA	derbies	horse shows																
