aubrey_identifier	dc_description	dc_subject.KWD_facet																		
ark:/67531/metapth1258871	"Patent for a crate for use in shipping live pigs which allows for the free movement of the animal's legs while maintaining separation from other animals for identification purposes\, including illustrations and instructions for use."	animal crates	hogs	pigs																
ark:/67531/metapth1283330	Photograph of a young girl posing next to the statue of a animal which is placed on the ground somewhere in the Safari in 1968.	statues																		
ark:/67531/metadc1063068	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story."	Fort Worth Stockyards	interviews	news segments	news stories	pot bellied pigs	video clips	video footage												
ark:/67531/metapth1270463	"Letter from San Angelo Central High School senior Judy Joiner to Texas State Representative Truett Latimer asking if he would send her a copy of a bill he recently introduced\, which would aid in the control of infectious livestock diseases."	San Angelo Central High School	legislation																	
ark:/67531/metapth1258360	"Patent for a feed storage building that allows silage to be discharged from bottom\, removing the opportunity for air and spoilage organisms to affect remaining feed when silage is removed. A screw- or auger-like conveying device moves feed downward and eliminates the need for multiple points of door or window access in upper portions of the silo."	conveyers	conveyors	feed systems	llivestock	silos														
ark:/67531/metadc307711	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany five news stories. The first is about Timothy Murphy\, National Commander of the Veterans of Foreign Wars\, visiting Dallas for the organization's 37th National Encampment. He campaigns for veteran's pensions and thinks the court martial of Sergeant Matthew McKeon is a mistake. Next is a story about Rocky Marciano and his relationship to a real estate company that is developing Lake Echo. The third covers the first annual Tarrant County 4-H Club Fair and its events\, and the fourth is about the Fort Worth Police Department identifying a amnesiac woman as Irma Handley. The final story is about a kitten named Punkin and a parakeet named Blue Boy."	Lake Ecko	Veterans of Foreign Wars	boxing	courts martial	news segments	news stories	parakeets	video clips	video footage										
ark:/67531/metadc1079212	"Script from the WBAP-TV/NBC station in Fort Worth\, Texas\, relating a news story."	news stories	scripts	zoos																
ark:/67531/metadc1081950	"Script from the WBAP-TV/NBC station in Fort Worth\, Texas\, relating a news story."	news stories	porpoises	scripts	zoos															
ark:/67531/metadc1083584	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story."	Sound Animal Control	Texas State Fair in Dallas	elections	news segments	news stories	petitions	referendums	spay and neuter clinics	video clips	video footage	voters								
ark:/67531/metadc1079284	"Script from the WBAP-TV/NBC station in Fort Worth\, Texas\, relating a news story. This story aired at 10:00pm."	Dallas Zoo	hippopotamus	news stories	scripts															
ark:/67531/metadc1080327	"Script from the WBAP-TV/NBC station in Fort Worth\, Texas\, relating a news story. This story aired at 12:00pm."	chimpanzees	monkeys	museums	news stories	scripts														
ark:/67531/metadc303488	"Photograph of of two boys accompanied by a small dog sitting at the steps of a front porch.  The two young men are using a bowl of soapy water to clean out the glass chimney\, or globe\, of many oil lamps."	Appalachia	Oil Lamps																	
ark:/67531/metadc303595	Photograph of a boy pitching hay in a field while his dog stands near by.  There are many stacks of hay as well as cattle visible in the background of the photo.	Appalachia	crops	dogs																
ark:/67531/metadc303435	"Photograph of children standing on a stump barefoot posing for picture with dog near by in Cumberland Gap\, Tennessee."	Appalachia	Dogs	siblings																
ark:/67531/metadc303607	Photograph of Otto Walker and his dog inspecting the freshly wound line on the end of his fishing pole.  The dog is perched atop a step stool.																			
ark:/67531/metadc303361	"Uncle Junebug and his dog in his backyard in Cumberland Gap by his smokehouse. One of Joe's memories of his brother Wade Hampton Clark Jr\, known as Junebug."	Appalachia	Smokehouses	dogs	sheds															
ark:/67531/metadc306194	"Script from the WBAP-TV/NBC station in Fort Worth\, Texas\, covering a news story about the first annual Tarrant County 4-H Club Fair and its events."	news segments	news stories	scripts																
ark:/67531/metadc227488	"Photograph of a falcon standing on a handler's glove\, attached to a chain. Buildings are pictured in the background\, and a portion of the top of the frame shows some writing in white."	UNT	college campuses	falconing																
ark:/67531/metadc1541998	"Script from the WBAP-TV/NBC station in Fort Worth\, Texas\, relating a news story."	World of animals	baboons	news segments	news stories	scripts														
ark:/67531/metadc1547786	"Script from the WBAP-TV/NBC station in Fort Worth\, Texas\, relating a news story about range fire burning over two acres of land on ranches in West Texas."	acres	fire departments	livestocks	news segments	news stories	scripts													
ark:/67531/metadc1126079	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story."	Easter eggs	animal breeding	bunnies	chickens	hens	news segments	news stories	rabbits	video clips	video footage									
ark:/67531/metadc1126114	"B-roll video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story."	news segments	news stories	video clips	video footage															
ark:/67531/metadc1126173	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story."	Boneheads Club of Dallas	achievement awards	events	fraternities	luncheons	news segments	news stories	video clips	video footage										
ark:/67531/metadc1128258	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story."	Charity Organizations	Humane Society	memberships	news segments	news stories	video clips	video footage												
ark:/67531/metadc1128085	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story."	news segments	news stories	video clips	video footage															
ark:/67531/metadc1128744	"B-roll video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story."	audiences	events	news segments	news stories	ranchers	show animals	video clips	video footage											
ark:/67531/metadc1126898	"B-roll video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story."	news segments	news stories	snakes	video clips	video footage	zoos													
ark:/67531/metadc1126989	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story."	Animal Control	animal shelters	criminals	dog mills	news segments	news stories	puppy mills	stolen animals	thefts	video clips	video footage								
ark:/67531/metadc1127345	"B-roll video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story."	birds	bunnies	news segments	news stories	rabbits	sales	video clips	video footage											
ark:/67531/metadc499645	"Photograph of Jimmy Powell and his dog\, Old Tize\, as well as a plow\, in a field at sunset."	Appalachia	Dogs	Plows																
ark:/67531/metadc498024	"Script from the WBAP-TV station in Fort Worth\, Texas\, covering a news story about Gold Seal\, an Aberdeen-Angus shown by C. E. Yoder and Sons of Muscatine\, Iowa at the Southwestern Exposition and Fat Stock Show in Fort Worth. The steer goes up for auction\, and Amon Carter Jr. places the winning bid of $6\,000 in the name of the Amon G. Carter Foundation."	cows	news segments	news stories	scripts															
ark:/67531/metadc498840	"Script from the WBAP-TV station in Fort Worth\, Texas\, covering a news story about the Fort Worth's Children's Zoo's five trained animals that do tricks for a nickel."	news segments	news stories	scripts	zoos															
ark:/67531/metadc498886	"Script from the WBAP-TV station in Fort Worth\, Texas\, covering a news story about several new animals at the Marsalis Zoo in Dallas\, including grisons\, horned owls\, ring-tailed cats\, ferrets\, and tayras."	news segments	news stories	scripts	zoos															
ark:/67531/metadc498285	"Script from the WBAP-TV station in Fort Worth\, Texas\, covering a news story about Fort Worth's Forest Park Zoo acquiring a baby gorilla."	news segments	news stories	scripts																
ark:/67531/metadc498449	"Script from the WBAP-TV station in Fort Worth\, Texas\, covering a news story about the opening of the sixtieth annual Southwestern Exposition and Fat Stock Show."	news segments	news stories	scripts																
ark:/67531/metadc1214110	"Script from the WBAP-TV/NBC station in Fort Worth\, Texas\, relating a news story."	elephants	fundraisers	news segments	news stories	scripts														
ark:/67531/metadc1215704	"Script from the WBAP-TV/NBC station in Fort Worth\, Texas\, relating a news story."	lawsuits	lions	news segments	news stories	scripts	veterinarians													
ark:/67531/metadc1214380	"Script from the WBAP-TV/NBC station in Fort Worth\, Texas\, relating a news story."	Steelworkers Union	groundhogs	news segments	news stories	protests	scripts	zoos												
ark:/67531/metadc1216649	"Script from the WBAP-TV/NBC station in Fort Worth\, Texas\, relating a news story."	Bongos	U. S. Department of Agriculture	antelopes	news segments	news stories	scripts	zoos												
ark:/67531/metadc1216551	"Script from the WBAP-TV/NBC station in Fort Worth\, Texas\, relating a news story."	news segments	news stories	ocelots	parrots	pet shops	scripts													
ark:/67531/metadc1246813	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story."	alcohol	farmers	interviews	news segments	news stories	video clips	video footage												
ark:/67531/metadc1245116	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story."	baby gorillas	crowds	gorillas	interviews	new born gorillas	news segments	news stories	species	video clips	video footage	zoos								
ark:/67531/metadc1246890	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story."	circuses	costumes	interviews	jobs	news segments	news stories	performances	performers	posters	safety	trends	video clips	video footage						
ark:/67531/metadc1246397	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story."	circuses	clowns	fire codes	flames	interviews	news segments	news stories	performances	performers	permits	shows	video clips	video footage						
ark:/67531/metadc1246629	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story."	editors	elephants	houses	interviews	neighborhoods	neighbors	news segments	news stories	residents	video clips	video footage	zoos							
ark:/67531/metadc1246162	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story."	Dallas Zoo	Texas weather	animal care	buffalo	news segments	news stories	okapis	temperature changes	temperature differences	video clips	video footage	weather fluctuations							
