Term	CollocationCount
Arts and Crafts - Music	67916
Arts and Crafts - Theatre	11940
Arts and Crafts - Dance	4249
Arts and Crafts - Music - Instruments	542
Arts and Crafts - Music - Bands	462
Arts and Crafts - Music - Choirs	420
Arts and Crafts - Music - Orchestras	134
Arts and Crafts - Theatre - Motion Pictures	84
Arts and Crafts - Music - Marching Bands	45
Arts and Crafts - Crafts - Jewelry	36
Arts and Crafts	31
Arts and Crafts - Paintings	24
Arts and Crafts - Sculptures	13
Arts and Crafts - Drawings	10
Arts and Crafts - Crafts	8
Arts and Crafts - Crafts - Pottery	4
Arts and Crafts - Crafts - Wood Carving	4
Arts and Crafts - Crafts - Fiber Arts - Sewing	2
Arts and Crafts - Crafts - Stained Glass	2
Arts and Crafts - Crafts - Fiber Arts	1
Arts and Crafts - Crafts - Metalwork	1
Arts and Crafts - Paintings - Murals	1
