Term	CollocationCount
Arts and Crafts - Theatre	21514
Arts and Crafts - Music	11940
Arts and Crafts - Dance	1340
Arts and Crafts - Theatre - Motion Pictures	55
Arts and Crafts - Music - Orchestras	45
Arts and Crafts - Music - Choirs	35
Arts and Crafts - Music - Instruments	29
Arts and Crafts - Music - Bands	25
Arts and Crafts	13
Arts and Crafts - Paintings	13
Arts and Crafts - Crafts - Fiber Arts	9
Arts and Crafts - Drawings	6
Arts and Crafts - Crafts	5
Arts and Crafts - Music - Marching Bands	4
Arts and Crafts - Sculptures	4
Arts and Crafts - Crafts - Jewelry	3
Arts and Crafts - Crafts - Fiber Arts - Sewing	2
Arts and Crafts - Crafts - Metalwork	2
Arts and Crafts - Crafts - Pottery	2
Arts and Crafts - Crafts - Fiber Arts - Knitting	1
Arts and Crafts - Crafts - Fiber Arts - Spinning	1
Arts and Crafts - Paintings - Murals	1
