Term	CollocationCount
Arts and Crafts	14095
Arts and Crafts - Drawings	526
Arts and Crafts - Paintings	322
Arts and Crafts - Sculptures	67
Arts and Crafts - Music - Bands	35
Arts and Crafts - Music - Instruments	34
Arts and Crafts - Music	31
Arts and Crafts - Dance	17
Arts and Crafts - Crafts - Metalwork	13
Arts and Crafts - Theatre	13
Arts and Crafts - Crafts - Jewelry	9
Arts and Crafts - Theatre - Motion Pictures	9
Arts and Crafts - Music - Orchestras	7
Arts and Crafts - Crafts - Pottery	5
Arts and Crafts - Crafts	4
Arts and Crafts - Crafts - Wood Carving	4
Arts and Crafts - Crafts - Fiber Arts - Weaving	3
Arts and Crafts - Music - Choirs	3
Arts and Crafts - Paintings - Murals	3
Arts and Crafts - Crafts - Fiber Arts	2
Arts and Crafts - Crafts - Fiber Arts - Sewing	2
Arts and Crafts - Crafts - Fiber Arts - Spinning	1
