Term	CollocationCount
"Business, Economics and Finance - Journalism"	848662
"Business, Economics and Finance - Communications - Newspapers"	846147
"Business, Economics and Finance - Advertising"	840478
"Business, Economics and Finance - Oil and Gas - Refineries"	1705
"Business, Economics and Finance - Communications - Media"	1571
"Business, Economics and Finance - Oil and Gas - Companies - Humble Oil"	1482
"Business, Economics and Finance - Finance"	527
"Business, Economics and Finance - Communications"	321
"Business, Economics and Finance - Oil and Gas - Companies"	224
"Business, Economics and Finance - Transportation - Automobiles"	59
"Business, Economics and Finance - Service Industries - Photography"	55
"Business, Economics and Finance"	52
"Business, Economics and Finance - Transportation - Aviation - Airplanes"	46
"Business, Economics and Finance - Medicine - Doctors"	45
"Business, Economics and Finance - Medicine"	42
"Business, Economics and Finance - Medicine - Hospitals"	41
"Business, Economics and Finance - Tourism"	32
"Business, Economics and Finance - Restaurants"	30
"Business, Economics and Finance - Finance - Banks"	27
"Business, Economics and Finance - Hotels"	11
"Business, Economics and Finance - Transportation - Aviation"	11
"Business, Economics and Finance - Oil and Gas"	10
"Business, Economics and Finance - Transportation - Railroads - Trains"	10
"Business, Economics and Finance - Transportation - Aviation - Helicopters"	9
"Business, Economics and Finance - Stores"	8
"Business, Economics and Finance - Medicine - Nurses"	7
"Business, Economics and Finance - Real Estate"	7
"Business, Economics and Finance - Transportation - Accidents"	7
"Business, Economics and Finance - Communications - Telephones"	6
"Business, Economics and Finance - Stores - Grocery Stores"	5
"Business, Economics and Finance - Transportation - Buses"	5
"Business, Economics and Finance - Transportation - Ships"	5
"Business, Economics and Finance - Oil and Gas - Oil Fields"	4
"Business, Economics and Finance - Oil and Gas - Oil Fields - Spindletop"	4
"Business, Economics and Finance - Service Industries - Printing"	4
"Business, Economics and Finance - Transportation - Trucks"	4
"Business, Economics and Finance - Oil and Gas - Companies - Shell Oil"	3
"Business, Economics and Finance - Stores - Clothing Stores"	3
"Business, Economics and Finance - Stores - Farmers' Markets"	3
"Business, Economics and Finance - Stores - Pharmacies"	3
"Business, Economics and Finance - Transportation - Motorcycles"	3
"Business, Economics and Finance - Electricity"	2
"Business, Economics and Finance - Electricity - Companies"	2
"Business, Economics and Finance - Factories"	2
"Business, Economics and Finance - Medicine - Red Cross"	2
"Business, Economics and Finance - Oil and Gas - Gas Wells"	2
"Business, Economics and Finance - Oil and Gas - Oil Wells"	2
"Business, Economics and Finance - Stores - Department Stores"	2
"Business, Economics and Finance - Theatres"	2
"Business, Economics and Finance - Transportation - Boats"	2
"Business, Economics and Finance - Transportation - Railroads"	2
"Business, Economics and Finance - Commercial Fishing"	1
"Business, Economics and Finance - Electricity - Power Plants"	1
"Business, Economics and Finance - Insurance"	1
"Business, Economics and Finance - Medicine - Nursing Homes"	1
"Business, Economics and Finance - Oil and Gas - Stations"	1
"Business, Economics and Finance - Service Industries - Barbers"	1
"Business, Economics and Finance - Shipping"	1
"Business, Economics and Finance - Shipping - Wharves"	1
"Business, Economics and Finance - Stores - General Stores"	1
"Business, Economics and Finance - Stores - Meat Markets"	1
"Business, Economics and Finance - Transportation"	1
"Business, Economics and Finance - Transportation - Horse-Drawn Vehicles"	1
