Term	CollocationCount
"Business, Economics and Finance"	14057
"Business, Economics and Finance - Communications - Media"	2274
"Business, Economics and Finance - Transportation - Automobiles"	186
"Business, Economics and Finance - Advertising"	106
"Business, Economics and Finance - Finance - Banks"	102
"Business, Economics and Finance - Transportation - Aviation - Airplanes"	90
"Business, Economics and Finance - Communications - Newspapers"	69
"Business, Economics and Finance - Oil and Gas"	68
"Business, Economics and Finance - Finance"	55
"Business, Economics and Finance - Journalism"	52
"Business, Economics and Finance - Stores"	45
"Business, Economics and Finance - Communications - Telephones"	42
"Business, Economics and Finance - Hotels"	41
"Business, Economics and Finance - Medicine"	35
"Business, Economics and Finance - Transportation - Railroads"	34
"Business, Economics and Finance - Communications"	32
"Business, Economics and Finance - Real Estate"	30
"Business, Economics and Finance - Medicine - Hospitals"	27
"Business, Economics and Finance - Transportation - Aviation"	26
"Business, Economics and Finance - Transportation"	24
"Business, Economics and Finance - Service Industries - Photography"	21
"Business, Economics and Finance - Transportation - Trucks"	21
"Business, Economics and Finance - Factories"	19
"Business, Economics and Finance - Oil and Gas - Companies"	17
"Business, Economics and Finance - Stores - Grocery Stores"	16
"Business, Economics and Finance - Transportation - Horse-Drawn Vehicles"	16
"Business, Economics and Finance - Transportation - Railroads - Trains"	15
"Business, Economics and Finance - Restaurants"	14
"Business, Economics and Finance - Medicine - Doctors"	12
"Business, Economics and Finance - Transportation - Buses"	12
"Business, Economics and Finance - Insurance"	10
"Business, Economics and Finance - Transportation - Aviation - Helicopters"	9
"Business, Economics and Finance - Oil and Gas - Stations"	8
"Business, Economics and Finance - Stores - Clothing Stores"	8
"Business, Economics and Finance - Stores - Department Stores"	7
"Business, Economics and Finance - Transportation - Boats"	7
"Business, Economics and Finance - Transportation - Trucks - Commercial"	7
"Business, Economics and Finance - Electricity - Power Plants"	6
"Business, Economics and Finance - Mining"	6
"Business, Economics and Finance - Oil and Gas - Refineries"	6
"Business, Economics and Finance - Saloons, Bars, Taverns"	6
"Business, Economics and Finance - Service Industries"	6
"Business, Economics and Finance - Electricity"	5
"Business, Economics and Finance - Medicine - Nurses"	5
"Business, Economics and Finance - Transportation - Accidents"	5
"Business, Economics and Finance - Electricity - Companies"	4
"Business, Economics and Finance - Service Industries - Printing"	4
"Business, Economics and Finance - Tourism"	4
"Business, Economics and Finance - Oil and Gas - Companies - Humble Oil"	3
"Business, Economics and Finance - Oil and Gas - Oil Wells"	3
"Business, Economics and Finance - Shipping"	3
"Business, Economics and Finance - Stores - Farmers' Markets"	3
"Business, Economics and Finance - Stores - Hardware Stores"	3
"Business, Economics and Finance - Oil and Gas - Companies - Texas Company (Texaco)"	2
"Business, Economics and Finance - Stores - Lumber Yards"	2
"Business, Economics and Finance - Stores - Pharmacies"	2
"Business, Economics and Finance - Transportation - Railroads - Depots"	2
"Business, Economics and Finance - Transportation - Ships"	2
"Business, Economics and Finance - Commercial Fishing"	1
"Business, Economics and Finance - Medicine - Dentists"	1
"Business, Economics and Finance - Medicine - Nursing Homes"	1
"Business, Economics and Finance - Medicine - Red Cross"	1
"Business, Economics and Finance - Motels"	1
"Business, Economics and Finance - Oil and Gas - Companies - Lone Star Gas"	1
"Business, Economics and Finance - Oil and Gas - Companies - Phillips 66"	1
"Business, Economics and Finance - Service Industries - Tailors"	1
"Business, Economics and Finance - Stores - Appliance Stores"	1
"Business, Economics and Finance - Stores - General Stores"	1
"Business, Economics and Finance - Stores - Jewelry Stores"	1
"Business, Economics and Finance - Theatres"	1
