Term	CollocationCount
Education - Schools - Students	49777
Education - Colleges and Universities - Faculty and Staff	25421
Education - Colleges and Universities - University of North Texas	19086
Education - Colleges and Universities	4441
Education - Colleges and Universities - Rice University	2970
Education - Events	2362
Education - Schools - Teachers	2261
Education - Colleges and Universities - Texas Wesleyan University	2016
Education - Colleges and Universities - Lamar University	2007
Education - Colleges and Universities - San Antonio College	1676
Education - Schools - Classes	1396
Education - Schools - Buildings	1261
Education - Schools	1109
Education - Colleges and Universities - University of Dallas	904
Education - Colleges and Universities - Texas Lutheran University	645
Education - Colleges and Universities - Tarrant County College	638
Education - Colleges and Universities - Hardin-Simmons University	616
Education - Colleges and Universities - Texas State University	568
Education - Events - Homecoming	561
Education - Colleges and Universities - Schreiner University	502
Education - Colleges and Universities - Panola College	446
Education - Colleges and Universities - McMurry University	421
Education - Colleges and Universities - St. Philip's College	415
Education - Colleges and Universities - St. Edward's University	409
Education - Schools - Cheerleaders	360
Education - Colleges and Universities - Temple College	338
Education	325
Education - Commencement	268
Education - Alumni	234
Education - Yearbooks	228
Education - Colleges and Universities - Texas A&M University	220
Education - Colleges and Universities - Southern Methodist University	218
Education - Colleges and Universities - Tarleton State University	218
Education - Colleges and Universities - Texas Christian University	214
Education - Schools - Principals	170
Education - Colleges and Universities - University of Texas	165
Education - Colleges and Universities - Western Texas College	139
Education - Colleges and Universities - South Plains College	134
Education - Colleges and Universities - Abilene Christian University	128
Education - Colleges and Universities - University of Texas at Arlington	112
Education - Colleges and Universities - Howard Payne University	78
Education - Textbooks	58
Education - Colleges and Universities - Baylor University	41
Education - Colleges and Universities - Bishop College	40
Education - Colleges and Universities - West Texas A&M University	37
Education - Colleges and Universities - Texas Woman's University	25
Education - Colleges and Universities - Concordia University Texas	24
Education - Diplomas	20
Education - Colleges and Universities - Palo Alto College	18
Education - Colleges and Universities - Southwestern University	13
Education - Colleges and Universities - Lee College	9
Education - Colleges and Universities - Austin College	7
Education - Colleges and Universities - Eastfield College	7
Education - Colleges and Universities - Clarendon College	6
Education - Colleges and Universities - Texas Tech University	6
Education - Colleges and Universities - El Centro College	4
Education - Colleges and Universities - North Lake College	4
Education - Colleges and Universities - Richland College	4
Education - Colleges and Universities - Mountain View College	3
Education - Colleges and Universities - Brookhaven College	1
Education - Colleges and Universities - Cedar Valley College	1
