Term	CollocationCount
Places	1
Places - Central America	16
Places - Mexico	44
Places - Mexico - Tamaulipas - Matamoros	1
Places - Mexico - Texas	2
Places - North America	9
Places - Republic of Texas	9
Places - United States	32
Places - United States - Alabama	12
Places - United States - Arizona	10
Places - United States - Arkansas	96
Places - United States - California	27
Places - United States - Colorado	17
Places - United States - Delaware	1
Places - United States - Florida	11
Places - United States - Georgia	6
Places - United States - Hawaii	1
Places - United States - Idaho	1
Places - United States - Illinois	7
Places - United States - Indiana	2
Places - United States - Iowa	6
Places - United States - Kansas	27
Places - United States - Kentucky	5
Places - United States - Louisiana	356
Places - United States - Maine	1
Places - United States - Maryland	2
Places - United States - Massachusetts	1
Places - United States - Michigan	3
Places - United States - Midwestern Region	4
Places - United States - Minnesota	4
Places - United States - Mississippi	14
Places - United States - Missouri	20
Places - United States - Montana	4
Places - United States - Nebraska	5
Places - United States - Nevada	2
Places - United States - New Jersey	2
Places - United States - New Mexico	375
Places - United States - New York	6
Places - United States - North Carolina	2
Places - United States - North Dakota	4
Places - United States - Northeast Region	2
Places - United States - Ohio	1
Places - United States - Oklahoma	570
Places - United States - Oregon	7
Places - United States - South Carolina	4
Places - United States - South Dakota	5
Places - United States - Southern Region	6
Places - United States - Tennessee	7
Places - United States - Texas	20041
Places - United States - Texas - Anderson County - Palestine	1
Places - United States - Texas - Atascosa County	1
Places - United States - Texas - Austin County	1
Places - United States - Texas - Bexar County	3
Places - United States - Texas - Bexar County - San Antonio	1
Places - United States - Texas - Brazoria County	2
Places - United States - Texas - Burnet County	1
Places - United States - Texas - Calhoun County - Port Lavaca	1
Places - United States - Texas - Cameron County - Brownsville	1
Places - United States - Texas - Camp County	1
Places - United States - Texas - Collin County	1
Places - United States - Texas - Concho County	1
Places - United States - Texas - Crockett County	1
Places - United States - Texas - Dallas County	1
Places - United States - Texas - Dallas County - Dallas	11
Places - United States - Texas - DeWitt County	1
Places - United States - Texas - Denton County	1
Places - United States - Texas - Denton County - Denton	1
Places - United States - Texas - El Paso County - El Paso	1
Places - United States - Texas - Erath County	1
Places - United States - Texas - Fort Bend County	2
Places - United States - Texas - Fort Bend County - Rosenberg	1
Places - United States - Texas - Franklin County	1
Places - United States - Texas - Galveston County	2
Places - United States - Texas - Galveston County - Galveston	18
Places - United States - Texas - Goliad County	1
Places - United States - Texas - Gray County	1
Places - United States - Texas - Grayson County	1
Places - United States - Texas - Harris County - Houston	4
Places - United States - Texas - Hood County	1
Places - United States - Texas - Jack County	1
Places - United States - Texas - Jones County	1
Places - United States - Texas - Kendall County	1
Places - United States - Texas - Lee County	1
Places - United States - Texas - Limestone County	1
Places - United States - Texas - Llano County	1
Places - United States - Texas - Marion County - Jefferson	1
Places - United States - Texas - Matagorda County	1
Places - United States - Texas - Matagorda County - Matagorda	3
Places - United States - Texas - Nolan County	1
Places - United States - Texas - Palo Pinto County	4
Places - United States - Texas - Panola County	1
Places - United States - Texas - Potter County - Amarillo	1
Places - United States - Texas - Robertson County	2
Places - United States - Texas - Rockwall County	1
Places - United States - Texas - Runnels County	2
Places - United States - Texas - Sabine County	1
Places - United States - Texas - San Augustine County	1
Places - United States - Texas - Stephens County	1
Places - United States - Texas - Tarrant County	7
Places - United States - Texas - Tarrant County - Fort Worth	3
Places - United States - Texas - Taylor County	1
Places - United States - Texas - Travis County	1
Places - United States - Texas - Travis County - Austin	2
Places - United States - Texas - Val Verde County	1
Places - United States - Texas - Victoria County	1
Places - United States - Texas - Waller County	1
Places - United States - Texas - Webb County - Laredo	1
Places - United States - Texas - Wilbarger County	1
Places - United States - Texas - Williamson County - Georgetown	2
Places - United States - Utah	3
Places - United States - Virginia	3
Places - United States - Washington	3
Places - United States - Washington D.C.	1
Places - United States - West Virginia	2
Places - United States - Western Region	2
Places - United States - Wisconsin	3
Places - United States - Wyoming	3
