Term	CollocationCount
Social Life and Customs - Clubs and Organizations	31840
Social Life and Customs - Meetings and Conferences	3357
Social Life and Customs - Correspondence	1700
Social Life and Customs - Awards	831
Social Life and Customs - Competitions	523
Social Life and Customs	461
Social Life and Customs - Clothing	432
Social Life and Customs - Customs - Celebrations	404
Social Life and Customs - Customs - Parties	241
Social Life and Customs - Customs - Parades	229
Social Life and Customs - Food and Cooking	221
Social Life and Customs - Food and Cooking - Dining	220
Social Life and Customs - Customs - Holidays - Christmas	170
Social Life and Customs - Fairs and Exhibitions	157
Social Life and Customs - Travel	132
Social Life and Customs - Homes	128
Social Life and Customs - Families	122
Social Life and Customs - Popular Culture - Television	117
Social Life and Customs - Customs - Reunions	103
Social Life and Customs - Competitions - Beauty Pageants	97
Social Life and Customs - Customs - Holidays	92
Social Life and Customs - Popular Culture - Magazines	80
Social Life and Customs - Firearms	66
Social Life and Customs - Customs - Festivals	58
Social Life and Customs - Customs - Anniversaries	55
Social Life and Customs - Hobbies	52
Social Life and Customs - Customs - Birthdays	41
Social Life and Customs - Pets - Dogs	41
Social Life and Customs - Customs - Funerals - Cemeteries	36
Social Life and Customs - Clothing - Accessories - Hats	33
Social Life and Customs - Clothing - Accessories	29
Social Life and Customs - Clubs and Organizations - Sororities	28
Social Life and Customs - Customs - Funerals	27
Social Life and Customs - Hobbies - Collections	26
Social Life and Customs - Customs	25
Social Life and Customs - Clothing - Accessories - Shoes	21
Social Life and Customs - Toys	20
Social Life and Customs - Clubs and Organizations - Fraternities	19
Social Life and Customs - Clubs and Organizations - Links	18
Social Life and Customs - Customs - Holidays - Kwanzaa	18
Social Life and Customs - Clubs and Organizations - Boy Scouts	16
Social Life and Customs - Customs - Picnics	16
Social Life and Customs - Food and Cooking - Nutrition	16
Social Life and Customs - Furnishings - Furniture	15
Social Life and Customs - Customs - Holidays - Thanksgiving	14
Social Life and Customs - Customs - Weddings	14
Social Life and Customs - Slavery	13
Social Life and Customs - Customs - Holidays - Independence Day	11
Social Life and Customs - Pets - Cats	10
Social Life and Customs - Popular Culture	10
Social Life and Customs - Customs - Holidays - Easter	9
Social Life and Customs - Clubs and Organizations - Ku Klux Klan	8
Social Life and Customs - Furnishings	8
Social Life and Customs - Group Homes	7
Social Life and Customs - Pets	7
Social Life and Customs - Clubs and Organizations - Young Men's Christian Association (YMCA)	6
Social Life and Customs - Clubs and Organizations - Elks Lodge	4
Social Life and Customs - Clubs and Organizations - Girl Scouts	4
Social Life and Customs - Clubs and Organizations - Rotary	4
Social Life and Customs - Customs - Holidays - Halloween	4
Social Life and Customs - Clubs and Organizations - Camp Fire Girls	3
Social Life and Customs - Clubs and Organizations - Masons	3
Social Life and Customs - Furnishings - Kitchenware	3
Social Life and Customs - Clubs and Organizations - Young Women's Christian Association (YWCA)	2
Social Life and Customs - Pets - Fish	2
Social Life and Customs - Clubs and Organizations - 4-H	1
Social Life and Customs - Clubs and Organizations - Independent Order of Odd Fellows	1
Social Life and Customs - Clubs and Organizations - Parent Teacher Association (PTA)	1
Social Life and Customs - Customs - Holidays - St. Patrick's Day	1
Social Life and Customs - Furnishings - Dishes	1
Social Life and Customs - Furnishings - Linens	1
Social Life and Customs - Furnishings - Rugs	1
Social Life and Customs - Furnishings - Utensils	1
