[News Clip: Stock show]	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story."	"Fort Worth Stockyards,interviews,news segments,news stories,pot bellied pigs,video clips,video footage"			
[News Clip: McKeon Court Martial is Called Mistake ; Marciano ; Tarrant County 4-H Club Fair Opens ; Police Identify Amnesia Victim ; Bird and Cat]	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany five news stories. The first is about Timothy Murphy\, National Commander of the Veterans of Foreign Wars\, visiting Dallas for the organization's 37th National Encampment. He campaigns for veteran's pensions and thinks the court martial of Sergeant Matthew McKeon is a mistake. Next is a story about Rocky Marciano and his relationship to a real estate company that is developing Lake Echo. The third covers the first annual Tarrant County 4-H Club Fair and its events\, and the fourth is about the Fort Worth Police Department identifying a amnesiac woman as Irma Handley. The final story is about a kitten named Punkin and a parakeet named Blue Boy."	"Lake Ecko,Veterans of Foreign Wars,boxing,courts martial,news segments,news stories,parakeets,video clips,video footage"	"Amnesia.,Amnesiacs.,Marciano\, Rocky\, 1923-1969.,Television broadcasting of news -- Texas."	"Anderson\, Ray,Baker\, Dorothy,Handley\, Irma,Lutes\, Tommy,McKeon\, Matthew,Murphy\, Timothy J.,Punkin,Willis\, Marvin"	Blue Boy
[News Script: Porpoise]	"Script from the WBAP-TV/NBC station in Fort Worth\, Texas\, relating a news story."	"news stories,scripts,zoos"	Television broadcasting of news.	"Brown\, Dudley,Kirksey\, William"	
[News Script: Porpoise]	"Script from the WBAP-TV/NBC station in Fort Worth\, Texas\, relating a news story."	"news stories,porpoises,scripts,zoos"	Television broadcasting of news.		
[News Clip: Referendum]	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story."	"Sound Animal Control,Texas State Fair in Dallas,elections,news segments,news stories,petitions,referendums,spay and neuter clinics,video clips,video footage,voters"	Television broadcasting of news.	"Adams\, Doug"	
[News Script: Hippo]	"Script from the WBAP-TV/NBC station in Fort Worth\, Texas\, relating a news story. This story aired at 10:00pm."	"Dallas Zoo,hippopotamus,news stories,scripts"	Television broadcasting of news.	"Bullock\, George"	
[News Script: Chimpanzee]	"Script from the WBAP-TV/NBC station in Fort Worth\, Texas\, relating a news story. This story aired at 12:00pm."	"chimpanzees,monkeys,museums,news stories,scripts"	Television broadcasting of news.		
[Boys cleaning oil lamps]	"Photograph of of two boys accompanied by a small dog sitting at the steps of a front porch.  The two young men are using a bowl of soapy water to clean out the glass chimney\, or globe\, of many oil lamps."	"Appalachia,Oil Lamps"			
[Boy & Dog Stacking Hay]	Photograph of a boy pitching hay in a field while his dog stands near by.  There are many stacks of hay as well as cattle visible in the background of the photo.	"Appalachia,crops,dogs"			
[Brother & Sister Barefoot with Dog]	"Photograph of children standing on a stump barefoot posing for picture with dog near by in Cumberland Gap\, Tennessee."	"Appalachia,Dogs,siblings"			
[Boy with fishin' pole and dog]	Photograph of Otto Walker and his dog inspecting the freshly wound line on the end of his fishing pole.  The dog is perched atop a step stool.			"Walker\, Otto"	
[Smokehouse]	"Uncle Junebug and his dog in his backyard in Cumberland Gap by his smokehouse. One of Joe's memories of his brother Wade Hampton Clark Jr\, known as Junebug."	"Appalachia,Smokehouses,dogs,sheds"		"Clark\, Wade Hampton\, Jr. (Junebug)"	
[News Script: Tarrant County 4-H Club fair opened]	"Script from the WBAP-TV/NBC station in Fort Worth\, Texas\, covering a news story about the first annual Tarrant County 4-H Club Fair and its events."	"news segments,news stories,scripts"	Television broadcasting of news.	"Anderson\, Ray,Baker\, Dorothy,Lutes\, Tommy"	
[Portrait of a falcon]	"Photograph of a falcon standing on a handler's glove\, attached to a chain. Buildings are pictured in the background\, and a portion of the top of the frame shows some writing in white."	"UNT,college campuses,falconing"	University of North Texas -- Photographs.		
[News Script: Baboons]	"Script from the WBAP-TV/NBC station in Fort Worth\, Texas\, relating a news story."	"World of animals,baboons,news segments,news stories,scripts"	Television broadcasting of news.		
[News Script: Range fire]	"Script from the WBAP-TV/NBC station in Fort Worth\, Texas\, relating a news story about range fire burning over two acres of land on ranches in West Texas."	"acres,fire departments,livestocks,news segments,news stories,scripts"	Television broadcasting of news.	"Edmiston\, Orval"	
[News Clip: Animal Protest]	"B-roll video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story. This story aired at 6pm."	"Earle Cabell Federal Building,abuse,news segments,news stories,protests,video clips,video footage"	Television broadcasting of news -- Texas.		
[News Clip: Frisbee Dog]	"B-roll video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story. This story aired at 6pm."	"Fair Park,news segments,news stories,video clips,video footage"	Television broadcasting of news -- Texas.		
[News Clip: P - Fair - 4H]	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story. This story aired at 6pm."	"4H,auctions,interviews,news reporters,news segments,news stories,video clips,video footage"	Television broadcasting of news -- Texas.	"Gates\, Tandy,Kofler\, Shelley"	
[News Clip: Zoo]	"B-roll video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story. This story aired at 10pm."	"news segments,news stories,video clips,video footage,zoos"	Television broadcasting of news.		
[News Clip: Tiger Home]	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story. This story aired at 5pm."	"interviews,news reporters,news segments,news stories,tigers,video clips,video footage,zoos"	Television broadcasting of news.	"Mullins\, Larry"	"Taza,Yani,Zami"
[News Clip: Fair Freebies]	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story."	"State Fair of Texas,The American Aquacade,divers,interviews,news reporters,news segments,news stories,video clips,video footage"	Television broadcasting of news.	"Kofler\, Shelley"	
[News Clip: Credits]	"B-roll video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, to accompany a news story. This story aired at 6pm."	"news segments,news stories,video clips,video footage,zoos"	Television broadcasting of news -- Texas.		
[News Clip: Tiger Cub]	"Video footage from the KXAS-TV/NBC station in Fort Worth\, Texas\, covering b-roll footage of a tiger cub roaming and playing around a small room. This story aired at 6pm."	"cubs,news segments,news stories,tigers,video clips,video footage"	Television broadcasting of news.		
